Name,Sex,Births,Ranking
Mary,F,73984,1
Dorothy,F,39087,2
Helen,F,34822,3
Margaret,F,28468,4
Ruth,F,25783,5
Virginia,F,19032,6
Mildred,F,17880,7
Betty,F,17638,8
Frances,F,15993,9
Elizabeth,F,15800,10
Anna,F,14476,11
Evelyn,F,14278,12
Doris,F,13152,13
Marie,F,12501,14
Alice,F,11955,15
Marjorie,F,11209,16
Florence,F,10720,17
Irene,F,10624,18
Lillian,F,9770,19
Rose,F,9352,20
Martha,F,9264,21
Louise,F,9180,22
Catherine,F,8887,23
Gladys,F,8814,24
Jean,F,8592,25
Ruby,F,8333,26
Edna,F,8302,27
Josephine,F,8135,28
Eleanor,F,8054,29
Thelma,F,7839,30
Lucille,F,7698,31
Ethel,F,7603,32
Edith,F,7589,33
Hazel,F,7341,34
Grace,F,7230,35
Annie,F,7209,36
Pauline,F,7142,37
Lois,F,6899,38
Bernice,F,6190,39
Barbara,F,6013,40
Beatrice,F,5968,41
Esther,F,5926,42
Marion,F,5814,43
Shirley,F,5695,44
Clara,F,5606,45
Gertrude,F,5349,46
Jane,F,5188,47
Rita,F,5157,48
Katherine,F,5156,49
June,F,5155,50
Norma,F,5102,51
Emma,F,5072,52
Ann,F,5058,53
Sarah,F,5024,54
Elsie,F,4879,55
Agnes,F,4798,56
Juanita,F,4779,57
Julia,F,4737,58
Bertha,F,4608,59
Phyllis,F,4590,60
Lorraine,F,4533,61
Geraldine,F,4523,62
Eva,F,4325,63
Kathryn,F,4201,64
Pearl,F,4175,65
Viola,F,4160,66
Ida,F,4146,67
Vivian,F,4103,68
Marian,F,4064,69
Anne,F,4007,70
Laura,F,3998,71
Wilma,F,3824,72
Myrtle,F,3791,73
Willie,F,3748,74
Bessie,F,3678,75
Vera,F,3631,76
Maxine,F,3630,77
Alma,F,3589,78
Charlotte,F,3587,79
Nellie,F,3513,80
Violet,F,3469,81
Audrey,F,3434,82
Kathleen,F,3419,83
Patricia,F,3380,84
Mabel,F,3336,85
Stella,F,3335,86
Nancy,F,3323,87
Sylvia,F,3297,88
Ella,F,3237,89
Genevieve,F,3235,90
Jessie,F,3225,91
Leona,F,3210,92
Lucy,F,3157,93
Lillie,F,3118,94
Ellen,F,3064,95
Minnie,F,2998,96
Elaine,F,2922,97
Marguerite,F,2897,98
Jennie,F,2889,99
Eileen,F,2862,100
Wanda,F,2738,101
Gloria,F,2731,102
Opal,F,2713,103
Lena,F,2710,104
Mattie,F,2703,105
Margie,F,2696,106
Theresa,F,2613,107
Velma,F,2606,108
Jeanne,F,2590,109
Mae,F,2589,110
Dolores,F,2558,111
Blanche,F,2487,112
Geneva,F,2485,113
Harriet,F,2389,114
Sara,F,2350,115
Beulah,F,2313,116
Georgia,F,2313,117
Christine,F,2301,118
Muriel,F,2248,119
Eunice,F,2240,120
Emily,F,2184,121
Loretta,F,2134,122
Hilda,F,2128,123
Janet,F,2123,124
Jeanette,F,2096,125
Carrie,F,2081,126
Inez,F,2081,127
Rosemary,F,2034,128
Maria,F,2028,129
Dora,F,2026,130
Rosa,F,1977,131
Naomi,F,1976,132
Alberta,F,1929,133
Anita,F,1924,134
Fannie,F,1892,135
Sophie,F,1865,136
Joyce,F,1840,137
Arlene,F,1837,138
Madeline,F,1835,139
Cora,F,1828,140
Verna,F,1813,141
Joan,F,1790,142
Lula,F,1778,143
Hattie,F,1776,144
Ada,F,1756,145
Carolyn,F,1753,146
Miriam,F,1743,147
Roberta,F,1732,148
Constance,F,1686,149
Mamie,F,1627,150
Bonnie,F,1609,151
Rachel,F,1583,152
Olga,F,1572,153
Olive,F,1567,154
Mable,F,1566,155
Flora,F,1553,156
Lola,F,1540,157
Erma,F,1525,158
Marcella,F,1502,159
Daisy,F,1481,160
Estelle,F,1436,161
Caroline,F,1425,162
Winifred,F,1417,163
Eloise,F,1379,164
Irma,F,1376,165
Carol,F,1374,166
Nora,F,1350,167
Susie,F,1321,168
Bette,F,1316,169
Eula,F,1313,170
Rosie,F,1313,171
Lorene,F,1304,172
Maggie,F,1300,173
Fern,F,1297,174
Rebecca,F,1272,175
Sadie,F,1249,176
Adeline,F,1246,177
Lucile,F,1242,178
Victoria,F,1238,179
Antoinette,F,1234,180
Nina,F,1212,181
Claire,F,1210,182
Lottie,F,1208,183
Henrietta,F,1174,184
Laverne,F,1163,185
Beverly,F,1160,186
Della,F,1153,187
Regina,F,1144,188
Donna,F,1111,189
Billie,F,1104,190
Jeannette,F,1094,191
Angelina,F,1075,192
Rosalie,F,1074,193
Veronica,F,1074,194
Peggy,F,1066,195
Dorothea,F,1057,196
Lydia,F,1052,197
Nettie,F,1034,198
Essie,F,1032,199
Amelia,F,995,200
Cleo,F,992,201
Faye,F,989,202
Angeline,F,986,203
Goldie,F,984,204
May,F,977,205
Katie,F,976,206
Isabel,F,971,207
Freda,F,970,208
Ollie,F,912,209
Melba,F,910,210
Johnnie,F,909,211
Lela,F,907,212
Lila,F,894,213
