Name,Sex,Births,Ranking
Mary,F,61438,1
Helen,F,32661,2
Dorothy,F,27418,3
Margaret,F,24953,4
Ruth,F,23189,5
Mildred,F,15633,6
Anna,F,15228,7
Elizabeth,F,14940,8
Frances,F,13746,9
Virginia,F,12487,10
Evelyn,F,11889,11
Marie,F,11682,12
Alice,F,10719,13
Florence,F,10412,14
Rose,F,9605,15
Lillian,F,9592,16
Irene,F,9035,17
Louise,F,8630,18
Edna,F,8625,19
Catherine,F,8469,20
Josephine,F,8127,21
Gladys,F,8019,22
Ruby,F,7686,23
Martha,F,7610,24
Ethel,F,7601,25
Grace,F,7461,26
Eleanor,F,7406,27
Edith,F,7307,28
Thelma,F,7290,29
Lucille,F,7241,30
Hazel,F,7214,31
Doris,F,7161,32
Pauline,F,6655,33
Esther,F,6421,34
Gertrude,F,6243,35
Annie,F,6105,36
Marjorie,F,5866,37
Beatrice,F,5586,38
Clara,F,5544,39
Ann,F,5343,40
Emma,F,5217,41
Bernice,F,5183,42
Lois,F,5149,43
Betty,F,5136,44
Jean,F,5081,45
Julia,F,5066,46
Marion,F,5033,47
Elsie,F,5027,48
Bertha,F,4900,49
Agnes,F,4852,50
Katherine,F,4801,51
Sarah,F,4798,52
Anne,F,4571,53
Ida,F,4364,54
Eva,F,4337,55
Bessie,F,4122,56
Pearl,F,4073,57
Myrtle,F,3960,58
Viola,F,3948,59
Kathryn,F,3933,60
Nellie,F,3862,61
Jane,F,3826,62
Stella,F,3818,63
Laura,F,3744,64
Mabel,F,3680,65
Vera,F,3622,66
Rita,F,3477,67
Jessie,F,3414,68
Sylvia,F,3414,69
Alma,F,3403,70
Minnie,F,3274,71
Marian,F,3198,72
Willie,F,3116,73
Barbara,F,3112,74
Leona,F,3086,75
Genevieve,F,3063,76
Vivian,F,3049,77
Marguerite,F,3034,78
Jennie,F,3010,79
Charlotte,F,2995,80
Ella,F,2965,81
Wilma,F,2962,82
Violet,F,2921,83
Lucy,F,2877,84
Lena,F,2869,85
June,F,2840,86
Ellen,F,2838,87
Lillie,F,2825,88
Blanche,F,2714,89
Juanita,F,2644,90
Opal,F,2636,91
Mae,F,2607,92
Mattie,F,2556,93
Geraldine,F,2549,94
Phyllis,F,2427,95
Maxine,F,2424,96
Beulah,F,2401,97
Theresa,F,2348,98
Velma,F,2319,99
Emily,F,2213,100
Sophie,F,2198,101
Nancy,F,2166,102
Carrie,F,2159,103
Kathleen,F,2154,104
Hilda,F,2075,105
Harriet,F,2067,106
Inez,F,2057,107
Georgia,F,1992,108
Sara,F,1992,109
Eunice,F,1964,110
Norma,F,1921,111
Geneva,F,1919,112
Loretta,F,1903,113
Cora,F,1899,114
Hattie,F,1889,115
Fannie,F,1883,116
Ada,F,1860,117
Eileen,F,1858,118
Audrey,F,1853,119
Rosa,F,1793,120
Christine,F,1787,121
Estelle,F,1772,122
Alberta,F,1765,123
Dora,F,1725,124
Verna,F,1713,125
Olga,F,1685,126
Lula,F,1676,127
Lorraine,F,1671,128
Mamie,F,1653,129
Naomi,F,1649,130
Madeline,F,1644,131
Olive,F,1616,132
Sadie,F,1529,133
Muriel,F,1524,134
Jeanette,F,1522,135
Mable,F,1520,136
Daisy,F,1511,137
Wanda,F,1505,138
Lucile,F,1483,139
Miriam,F,1460,140
Flora,F,1459,141
Janet,F,1449,142
Lottie,F,1389,143
Caroline,F,1385,144
Erma,F,1378,145
Dolores,F,1374,146
Lola,F,1372,147
Winifred,F,1365,148
Irma,F,1353,149
Victoria,F,1340,150
Anita,F,1339,151
Fern,F,1332,152
Rachel,F,1328,153
Nora,F,1314,154
Roberta,F,1313,155
Susie,F,1313,156
Maggie,F,1277,157
Henrietta,F,1264,158
Maria,F,1261,159
Shirley,F,1245,160
Elaine,F,1236,161
Sally,F,1221,162
Carolyn,F,1216,163
Eula,F,1210,164
Della,F,1172,165
Adeline,F,1168,166
Amelia,F,1159,167
Lydia,F,1148,168
Rebecca,F,1132,169
Nina,F,1130,170
Nettie,F,1125,171
Arlene,F,1105,172
Jeannette,F,1082,173
Patricia,F,1078,174
Antoinette,F,1063,175
Jeanne,F,1050,176
Lorene,F,1043,177
Goldie,F,1039,178
Dorothea,F,1036,179
Cleo,F,1031,180
Rosie,F,1030,181
Marcella,F,1002,182
Isabel,F,1000,183
Rosemary,F,996,184
Bonnie,F,992,185
Veronica,F,976,186
Eloise,F,953,187
Freda,F,948,188
Angeline,F,940,189
May,F,938,190
Katie,F,935,191
Isabelle,F,927,192
Ollie,F,925,193
Regina,F,921,194
Margie,F,915,195
Sallie,F,912,196
Essie,F,904,197
Adele,F,902,198
Lela,F,888,199
Cecelia,F,883,200
Effie,F,878,201
Angelina,F,871,202
Sue,F,868,203
Faye,F,865,204
Ora,F,857,205
Iva,F,844,206
Susan,F,844,207
Claire,F,838,208
Frieda,F,838,209
Luella,F,837,210
Addie,F,823,211
Joan,F,823,212
Constance,F,811,213
Celia,F,810,214
Carol,F,789,215
Rosalie,F,787,216
Elva,F,783,217
Leola,F,780,218
Annette,F,773,219
Alta,F,765,220
Joyce,F,746,221
Etta,F,742,222
Maude,F,739,223
Jewel,F,726,224
Eleanore,F,724,225
Nell,F,722,226
Helene,F,718,227
Selma,F,718,228
Angela,F,716,229
Lila,F,708,230
Jewell,F,699,231
Sophia,F,697,232
Cecilia,F,685,233
Ernestine,F,676,234
Fay,F,676,235
Johnnie,F,676,236
Ola,F,672,237
Ina,F,671,238
Lizzie,F,669,239
Matilda,F,665,240
Reba,F,665,241
Teresa,F,662,242
Mollie,F,650,243
Janie,F,649,244
Laverne,F,642,245
Elma,F,622,246
Donna,F,606,247
Amy,F,595,248
Estella,F,595,249
Nannie,F,593,250
Melba,F,581,251
Elinor,F,580,252
Iris,F,577,253
Gwendolyn,F,574,254
Rena,F,573,255
Elvira,F,567,256
Billie,F,565,257
Peggy,F,554,258
Elnora,F,550,259
Hannah,F,549,260
Flossie,F,548,261
Eugenia,F,536,262
Lenora,F,532,263
Millie,F,524,264
Francis,F,519,265
Leah,F,514,266
Ila,F,513,267
Harriett,F,511,268
Virgie,F,509,269
Carmen,F,508,270
Edythe,F,507,271
Beverly,F,495,272
Clarice,F,484,273
Winnie,F,477,274
Lee,F,475,275
Zelma,F,466,276
Cornelia,F,465,277
Tillie,F,457,278
Carmela,F,451,279
Adelaide,F,449,280
Neva,F,449,281
Annabelle,F,448,282
Olivia,F,446,283
Letha,F,445,284
Allie,F,443,285
Priscilla,F,440,286
Nadine,F,429,287
Natalie,F,428,288
Helena,F,424,289
Imogene,F,423,290
Myra,F,422,291
Amanda,F,421,292
Gracie,F,421,293
Madge,F,418,294
Cecile,F,417,295
Arline,F,414,296
Carmella,F,412,297
Bernadine,F,407,298
Dollie,F,404,299
Yvonne,F,403,300
Connie,F,399,301
Stephanie,F,397,302
Avis,F,391,303
Lorena,F,391,304
Berniece,F,389,305
Gussie,F,388,306
Rosella,F,387,307
Rhoda,F,385,308
Frankie,F,382,309
Lessie,F,382,310
Hester,F,378,311
Lily,F,373,312
Merle,F,373,313
Janice,F,372,314
Alyce,F,369,315
Leila,F,368,316
Johanna,F,366,317
Lora,F,366,318
Josie,F,363,319
Claudia,F,361,320
Erna,F,358,321
Callie,F,357,322
Concetta,F,355,323
Aileen,F,354,324
Odessa,F,353,325
Christina,F,346,326
Ione,F,344,327
Augusta,F,342,328
Leota,F,341,329
Aline,F,340,330
Tessie,F,340,331
Bettie,F,339,332
Rosetta,F,339,333
Katharine,F,336,334
Belle,F,334,335
Molly,F,333,336
Corinne,F,332,337
Gloria,F,331,338
Jimmie,F,330,339
Lenore,F,330,340
Margery,F,330,341
Eliza,F,328,342
Bertie,F,327,343
Iona,F,320,344
Wilhelmina,F,320,345
Kate,F,318,346
Iola,F,317,347
Lilly,F,316,348
Willa,F,316,349
Theda,F,315,350
Lou,F,308,351
Loraine,F,307,352
Florine,F,305,353
Dolly,F,302,354
Nola,F,301,355
Linda,F,297,356
Gretchen,F,296,357
Philomena,F,296,358
Judith,F,295,359
Yolanda,F,292,360
Paula,F,289,361
Sybil,F,287,362
Corine,F,286,363
Beth,F,285,364
Mayme,F,285,365
Oma,F,284,366
Alvina,F,283,367
Dessie,F,283,368
Maudie,F,283,369
Wilda,F,283,370
Dorthy,F,278,371
Elisabeth,F,278,372
Monica,F,278,373
Ramona,F,278,374
Reva,F,277,375
Roxie,F,277,376
Birdie,F,275,377
Maurine,F,275,378
Pansy,F,273,379
Kay,F,272,380
Delores,F,271,381
Pearlie,F,270,382
Catharine,F,267,383
Delia,F,267,384
Ophelia,F,266,385
Althea,F,265,386
Lelia,F,265,387
Hope,F,262,388
Zelda,F,258,389
Eddie,F,254,390
Nona,F,254,391
Polly,F,254,392
Bernadette,F,253,393
Leone,F,253,394
Mona,F,253,395
Elda,F,250,396
Hallie,F,250,397
Antonia,F,248,398
Zella,F,248,399
Ferne,F,247,400
Isabella,F,246,401
Madelyn,F,246,402
Leora,F,243,403
Cecil,F,241,404
Fanny,F,241,405
Rubye,F,241,406
Dixie,F,235,407
Louella,F,235,408
Bette,F,230,409
Georgie,F,230,410
John,F,227,411
Mercedes,F,227,412
Lorine,F,226,413
Mavis,F,226,414
Valeria,F,226,415
Louisa,F,225,416
Melva,F,225,417
Cynthia,F,224,418
Lauretta,F,223,419
Earline,F,221,420
Glenna,F,221,421
Isabell,F,220,422
Vesta,F,220,423
Leta,F,219,424
Winona,F,219,425
Lorna,F,218,426
Clare,F,215,427
Lucinda,F,215,428
Joy,F,214,429
Robbie,F,214,430
Agatha,F,213,431
Beryl,F,213,432
Jannie,F,213,433
Marietta,F,213,434
Verda,F,213,435
Garnet,F,209,436
Maybelle,F,208,437
Bella,F,207,438
Tommie,F,207,439
Allene,F,206,440
Angie,F,204,441
Oleta,F,204,442
Harriette,F,203,443
Hortense,F,202,444
Vada,F,202,445
Elsa,F,201,446
Mozelle,F,201,447
Elvera,F,200,448
Phoebe,F,199,449
Rae,F,199,450
Alpha,F,198,451
Elise,F,198,452
Ester,F,198,453
Lulu,F,198,454
Yetta,F,197,455
Evalyn,F,196,456
Gail,F,196,457
Bobbie,F,194,458
Albina,F,193,459
Vida,F,193,460
Gertie,F,192,461
Orpha,F,192,462
Rosalind,F,190,463
Ivy,F,188,464
Julie,F,188,465
Alene,F,186,466
Ava,F,186,467
Ona,F,185,468
Lura,F,184,469
Camille,F,183,470
Aurora,F,182,471
Dorotha,F,181,472
Minerva,F,181,473
Artie,F,180,474
Marjory,F,179,475
Valerie,F,179,476
Linnie,F,178,477
Mina,F,178,478
Katheryn,F,177,479
Alfreda,F,176,480
Alva,F,176,481
Evangeline,F,176,482
Jacqueline,F,176,483
Dovie,F,175,484
Maryann,F,175,485
Eleanora,F,174,486
Enid,F,174,487
Lona,F,173,488
Una,F,173,489
Queen,F,172,490
Floy,F,171,491
Marcia,F,171,492
Veda,F,171,493
Belva,F,170,494
Hettie,F,170,495
Mathilda,F,170,496
Charlene,F,169,497
Rhea,F,169,498
Blanch,F,168,499
Joanna,F,168,500
Lettie,F,168,501
Freida,F,167,502
Lucia,F,167,503
Suzanne,F,167,504
Zola,F,167,505
Cassie,F,166,506
Elena,F,166,507
James,F,166,508
Maud,F,165,509
Rowena,F,165,510
Deloris,F,164,511
Mazie,F,164,512
Aurelia,F,162,513
Margret,F,162,514
Elna,F,161,515
Winnifred,F,161,516
Rachael,F,160,517
Retha,F,160,518
Diana,F,159,519
Dorris,F,159,520
Justine,F,159,521
Nelda,F,158,522
Odell,F,158,523
Celeste,F,157,524
Dortha,F,157,525
Era,F,157,526
Hedwig,F,157,527
Madeleine,F,157,528
Magdalene,F,156,529
Marianne,F,156,530
Filomena,F,155,531
Roma,F,155,532
Adela,F,154,533
Adell,F,154,534
Golda,F,154,535
Emilie,F,153,536
Myrna,F,153,537
Jaunita,F,152,538
Jo,F,152,539
Zora,F,152,540
Clementine,F,151,541
Ethelyn,F,151,542
Myrtis,F,151,543
Guadalupe,F,150,544
Edwina,F,149,545
Hulda,F,148,546
Cordelia,F,147,547
Reta,F,147,548
Roslyn,F,147,549
Ursula,F,147,550
Vernice,F,147,551
Abbie,F,146,552
Florene,F,146,553
Idella,F,146,554
Marilyn,F,146,555
Ruthie,F,146,556
Corrine,F,145,557
Elouise,F,145,558
Georgiana,F,145,559
Lyda,F,145,560
Eve,F,144,561
Crystal,F,143,562
Claudine,F,142,563
Verla,F,142,564
Nelle,F,141,565
Margarette,F,140,566
Ocie,F,139,567
Velva,F,139,568
Germaine,F,138,569
Ilene,F,138,570
Leatha,F,138,571
Margarita,F,138,572
Delphine,F,137,573
Tressie,F,137,574
Jenny,F,136,575
William,F,136,576
Camilla,F,135,577
Eldora,F,135,578
George,F,135,579
Juliette,F,135,580
Almeda,F,134,581
Jayne,F,134,582
Lupe,F,134,583
Johnie,F,132,584
Ray,F,132,585
Bess,F,131,586
Darlene,F,131,587
Magnolia,F,131,588
Annabel,F,129,589
Delma,F,129,590
Marvel,F,129,591
Mittie,F,129,592
Alda,F,128,593
Celestine,F,128,594
Myrtice,F,128,595
Chloe,F,127,596
Evelyne,F,127,597
Tina,F,127,598
Anastasia,F,126,599
Freddie,F,126,600
Georgianna,F,126,601
Consuelo,F,125,602
Patsy,F,125,603
Velda,F,125,604
Audra,F,124,605
Adella,F,123,606
Ardis,F,123,607
Charles,F,123,608
Gilda,F,123,609
Lilyan,F,123,610
Vernie,F,123,611
Manuela,F,122,612
Meta,F,122,613
Robert,F,122,614
Theodora,F,122,615
Annetta,F,121,616
Antonette,F,121,617
Millicent,F,120,618
Cathryn,F,119,619
Charlie,F,119,620
Estell,F,119,621
Gene,F,119,622
Bennie,F,118,623
Joanne,F,118,624
Rubie,F,118,625
Judy,F,117,626
Leonora,F,117,627
Mozell,F,117,628
Therese,F,117,629
Clyde,F,116,630
Albertha,F,115,631
Bonita,F,115,632
Lida,F,115,633
Dorcas,F,114,634
Nan,F,114,635
Faith,F,113,636
Lavina,F,113,637
Emilia,F,112,638
Jerry,F,112,639
Lovie,F,112,640
Aletha,F,111,641
Carolina,F,111,642
Greta,F,111,643
Lennie,F,111,644
Octavia,F,111,645
Rosamond,F,111,646
Berneice,F,110,647
Felicia,F,110,648
Ima,F,110,649
Susanna,F,110,650
Vergie,F,110,651
Malinda,F,109,652
Treva,F,109,653
Betsy,F,108,654
Hildegarde,F,108,655
Kathrine,F,108,656
Nita,F,108,657
Rosina,F,108,658
Gayle,F,107,659
Hellen,F,107,660
Novella,F,107,661
Zona,F,107,662
Idell,F,106,663
Libby,F,106,664
Charline,F,105,665
Zula,F,105,666
Bethel,F,104,667
Claudie,F,104,668
Dona,F,104,669
Elmira,F,104,670
Esta,F,104,671
Kathryne,F,104,672
Lue,F,104,673
Rosalyn,F,104,674
Sibyl,F,103,675
Verona,F,103,676
Diane,F,102,677
Easter,F,102,678
Joe,F,101,679
Leslie,F,101,680
Lina,F,101,681
Pearline,F,101,682
Rosalee,F,101,683
Carmel,F,100,684
Eda,F,100,685
Vina,F,100,686
Hilma,F,99,687
Juliet,F,99,688
Norine,F,99,689
Petra,F,99,690
Sudie,F,99,691
Altha,F,98,692
Grayce,F,98,693
Theo,F,98,694
Berenice,F,97,695
Eulalia,F,97,696
Francisca,F,97,697
Mandy,F,97,698
Ouida,F,97,699
Dena,F,96,700
Elenora,F,96,701
Evie,F,96,702
Janette,F,96,703
Sabina,F,96,704
Viva,F,96,705
Alicia,F,95,706
Bridget,F,95,707
Delphia,F,95,708
Marianna,F,94,709
Myrtie,F,94,710
Violette,F,94,711
Madie,F,93,712
Maureen,F,93,713
Adelle,F,92,714
Ines,F,92,715
Syble,F,92,716
Rosanna,F,91,717
Deborah,F,90,718
Laverna,F,90,719
Vincenza,F,90,720
Cleta,F,89,721
Earnestine,F,89,722
Kitty,F,89,723
Lucretia,F,89,724
Norene,F,89,725
Twila,F,89,726
Alvera,F,88,727
Santa,F,88,728
Magdalen,F,87,729
Rosemarie,F,87,730
Kathlyn,F,86,731
Lilian,F,85,732
Madonna,F,85,733
Magdalena,F,85,734
Melvina,F,85,735
Stephania,F,85,736
Ardith,F,84,737
Frank,F,84,738
Garnett,F,84,739
Gwen,F,84,740
Maxie,F,84,741
Myrl,F,84,742
Nedra,F,84,743
Adrienne,F,83,744
Arvilla,F,83,745
Ellie,F,83,746
Macie,F,83,747
Palma,F,83,748
Pinkie,F,83,749
Annamae,F,82,750
Earlene,F,82,751
Georgette,F,82,752
Georgina,F,82,753
Hazle,F,82,754
Henry,F,82,755
Josefina,F,82,756
Larue,F,82,757
Ludie,F,82,758
Madaline,F,82,759
Trinidad,F,82,760
Adelia,F,81,761
Audie,F,81,762
Ethyl,F,81,763
Myrle,F,81,764
Nova,F,81,765
Vivienne,F,81,766
Corene,F,80,767
Lea,F,80,768
Berta,F,79,769
Charity,F,79,770
Clarissa,F,79,771
Fae,F,79,772
Lavonne,F,79,773
Yvette,F,79,774
Elinore,F,78,775
Elisa,F,78,776
Lavinia,F,78,777
Nathalie,F,78,778
Pearle,F,78,779
Renee,F,78,780
Vallie,F,78,781
Emogene,F,77,782
Joseph,F,77,783
Letitia,F,77,784
Pattie,F,77,785
Rosalia,F,77,786
Stasia,F,76,787
Juliana,F,75,788
Bulah,F,74,789
Delta,F,74,790
Euna,F,74,791
Freeda,F,74,792
Ira,F,74,793
Lilla,F,74,794
Walter,F,74,795
Amalia,F,73,796
Arleen,F,73,797
Lavada,F,73,798
Lucie,F,73,799
Luvenia,F,73,800
Maryjane,F,73,801
Alverta,F,72,802
Bernardine,F,72,803
Cathrine,F,72,804
Elvie,F,72,805
Hildred,F,72,806
Joann,F,72,807
Thora,F,72,808
Hermina,F,71,809
Adelina,F,70,810
Annabell,F,70,811
Beaulah,F,70,812
Hildegard,F,70,813
Lavon,F,70,814
Marcelle,F,70,815
Neoma,F,70,816
Isobel,F,69,817
Jeane,F,69,818
Martina,F,69,819
Gay,F,68,820
Juana,F,68,821
Ozella,F,68,822
Roselyn,F,68,823
Afton,F,67,824
Carole,F,67,825
Donnie,F,67,826
Kattie,F,67,827
Marge,F,67,828
Ossie,F,67,829
Vernell,F,67,830
Emmie,F,66,831
Jackie,F,66,832
Leonore,F,66,833
Maybell,F,66,834
Meredith,F,66,835
Noma,F,66,836
Sonia,F,66,837
Vinnie,F,66,838
Waneta,F,66,839
Ardella,F,65,840
Ceola,F,65,841
Colleen,F,65,842
Delilah,F,65,843
Delpha,F,65,844
Hertha,F,65,845
Queenie,F,65,846
Zoe,F,65,847
Daphne,F,64,848
Elease,F,64,849
Glenda,F,64,850
Jettie,F,64,851
Lavera,F,64,852
Lavern,F,64,853
Melissa,F,64,854
Rosia,F,64,855
Adaline,F,63,856
Bettye,F,63,857
Clemmie,F,63,858
Elenor,F,63,859
Imelda,F,63,860
Loyce,F,63,861
Mabelle,F,63,862
Naoma,F,63,863
Pat,F,63,864
Savannah,F,63,865
Willia,F,63,866
Cleora,F,62,867
Elizebeth,F,62,868
Florida,F,62,869
Goldia,F,62,870
Lurline,F,62,871
Ardell,F,61,872
Elberta,F,61,873
Elfrieda,F,61,874
Enola,F,61,875
Verdie,F,61,876
Andrea,F,60,877
Elvina,F,60,878
Lera,F,60,879
Lyla,F,60,880
Madalyn,F,60,881
Adah,F,59,882
Leo,F,59,883
Maurice,F,59,884
Rosaline,F,59,885
Vlasta,F,59,886
Annis,F,58,887
Luna,F,58,888
Margarett,F,58,889
Margaretta,F,58,890
Prudence,F,58,891
Veta,F,58,892
Dale,F,57,893
Dawn,F,57,894
Dimple,F,57,895
Dorathy,F,57,896
Doretha,F,57,897
Fairy,F,57,898
Leonor,F,57,899
Nella,F,57,900
Stacia,F,57,901
Vita,F,57,902
Zita,F,57,903
Aldona,F,56,904
Bernita,F,56,905
Cordie,F,56,906
Flo,F,56,907
Golden,F,56,908
Lonnie,F,56,909
Lynn,F,56,910
Maida,F,56,911
Odie,F,56,912
Sammie,F,56,913
Versie,F,56,914
Antionette,F,55,915
Clifford,F,55,916
Edyth,F,55,917
Exie,F,55,918
Glennie,F,55,919
Jamie,F,55,920
Leda,F,55,921
Lenna,F,55,922
Louvenia,F,55,923
Maye,F,55,924
Rozella,F,55,925
Tennie,F,55,926
Venita,F,55,927
Alida,F,54,928
Astrid,F,54,929
Eulah,F,54,930
Eveline,F,54,931
Janis,F,54,932
Mafalda,F,54,933
Mallie,F,54,934
Margarete,F,54,935
Mariam,F,54,936
Minna,F,54,937
Santina,F,54,938
Sidney,F,54,939
Christeen,F,53,940
Coletta,F,53,941
Dorine,F,53,942
Dottie,F,53,943
Jessica,F,53,944
Margurite,F,53,945
Neta,F,53,946
Ruthe,F,53,947
Theola,F,53,948
Amber,F,52,949
Arlie,F,52,950
Assunta,F,52,951
Claribel,F,52,952
Domenica,F,52,953
Helyn,F,52,954
Laurine,F,52,955
Mammie,F,52,956
Noreen,F,52,957
Sofia,F,52,958
Alba,F,51,959
Caryl,F,51,960
Concepcion,F,51,961
Hermine,F,51,962
Ressie,F,51,963
Albertine,F,50,964
Esperanza,F,50,965
Etha,F,50,966
Eugenie,F,50,967
Floretta,F,50,968
Francine,F,50,969
Gladis,F,50,970
Henretta,F,50,971
Ingrid,F,50,972
Lexie,F,50,973
Paul,F,50,974
Rosaria,F,50,975
Trula,F,50,976
Vertie,F,50,977
Veva,F,50,978
Audry,F,49,979
Cathleen,F,49,980
Christene,F,49,981
Coral,F,49,982
Corrie,F,49,983
Erline,F,49,984
Henriette,F,49,985
Izetta,F,49,986
Laurette,F,49,987
Madelene,F,49,988
Marybelle,F,49,989
Tena,F,49,990
Thomas,F,49,991
Wava,F,49,992
Almeta,F,48,993
Angelita,F,48,994
Augustine,F,48,995
Birtha,F,48,996
Buelah,F,48,997
Clarabelle,F,48,998
Emelia,F,48,999
Erlene,F,48,1000
Jonnie,F,48,1001
Orene,F,48,1002
Rilla,F,48,1003
Vella,F,48,1004
Ara,F,47,1005
Bell,F,47,1006
Harry,F,47,1007
Linnea,F,47,1008
Romaine,F,47,1009
Vena,F,47,1010
Verlie,F,47,1011
Vivien,F,47,1012
Burnice,F,46,1013
Gaynell,F,46,1014
Helga,F,46,1015
Inga,F,46,1016
