Name,Sex,Births,Ranking
Linda,F,99693,1
Mary,F,71689,2
Patricia,F,51278,3
Barbara,F,48800,4
Sandra,F,34779,5
Carol,F,33543,6
Nancy,F,32445,7
Susan,F,31951,8
Sharon,F,28533,9
Donna,F,23518,10
Kathleen,F,22095,11
Judith,F,21996,12
Karen,F,21648,13
Judy,F,21036,14
Carolyn,F,20741,15
Margaret,F,20102,16
Betty,F,18964,17
Diane,F,17775,18
Shirley,F,17647,19
Joyce,F,15914,20
Brenda,F,15830,21
Janice,F,15409,22
Janet,F,15236,23
Cheryl,F,13890,24
Elizabeth,F,13439,25
Dorothy,F,12753,26
Gloria,F,12626,27
Pamela,F,12398,28
Marilyn,F,11881,29
Joan,F,11276,30
Beverly,F,11205,31
Martha,F,10652,32
Cynthia,F,10530,33
Virginia,F,10407,34
Bonnie,F,10215,35
Jane,F,9942,36
Phyllis,F,9187,37
Helen,F,8979,38
Frances,F,8943,39
Jean,F,8940,40
Ann,F,8894,41
Peggy,F,8877,42
Connie,F,8645,43
Ruth,F,8481,44
Christine,F,8377,45
Catherine,F,7889,46
Alice,F,7849,47
Diana,F,7622,48
Gail,F,7242,49
Elaine,F,7058,50
Jo,F,6724,51
Rebecca,F,6333,52
Suzanne,F,6231,53
Paula,F,6102,54
Kathryn,F,6091,55
Joanne,F,6063,56
Marie,F,6057,57
Doris,F,6029,58
Jacqueline,F,6011,59
Rita,F,5982,60
Ellen,F,5856,61
Deborah,F,5837,62
Lois,F,5717,63
Kathy,F,5697,64
Rose,F,5654,65
Wanda,F,5649,66
Sherry,F,5579,67
Charlotte,F,5386,68
Sue,F,5306,69
Sally,F,5265,70
Darlene,F,5255,71
Evelyn,F,5243,72
Sheila,F,5095,73
Laura,F,5051,74
Lynn,F,4994,75
Katherine,F,4885,76
Lynda,F,4840,77
Geraldine,F,4811,78
Maria,F,4712,79
Rosemary,F,4542,80
Marcia,F,4472,81
Norma,F,4425,82
Dianne,F,4415,83
Lorraine,F,4414,84
Theresa,F,4390,85
Jeanne,F,4364,86
Patsy,F,4344,87
Marsha,F,4339,88
Joann,F,4276,89
Roberta,F,4261,90
Eileen,F,4251,91
Anna,F,4238,92
Sarah,F,4223,93
Anita,F,4187,94
Anne,F,4187,95
Glenda,F,4156,96
Sylvia,F,4100,97
Maureen,F,4085,98
Louise,F,4050,99
Constance,F,3894,100
Vicki,F,3870,101
Carole,F,3826,102
Annie,F,3758,103
Kay,F,3520,104
Charlene,F,3477,105
Marjorie,F,3449,106
Irene,F,3293,107
Janis,F,3205,108
Mildred,F,3118,109
Juanita,F,3112,110
Dolores,F,3071,111
Ruby,F,3069,112
Loretta,F,3001,113
Marlene,F,2989,114
Delores,F,2965,115
Julia,F,2953,116
Yvonne,F,2914,117
Arlene,F,2907,118
Cathy,F,2859,119
June,F,2841,120
Teresa,F,2810,121
Claudia,F,2766,122
Victoria,F,2739,123
Julie,F,2735,124
Jeanette,F,2601,125
Andrea,F,2509,126
Gayle,F,2485,127
Vivian,F,2483,128
Georgia,F,2475,129
Gwendolyn,F,2450,130
Edna,F,2417,131
Leslie,F,2358,132
Josephine,F,2351,133
Paulette,F,2334,134
Terry,F,2291,135
Edith,F,2201,136
Pauline,F,2178,137
Sara,F,2174,138
Margie,F,2169,139
Annette,F,2145,140
Emma,F,2142,141
Penny,F,2101,142
Lillian,F,2090,143
Ethel,F,2085,144
Jennifer,F,2010,145
Audrey,F,2002,146
Lucille,F,1998,147
Michele,F,1984,148
Lynne,F,1971,149
Clara,F,1935,150
Priscilla,F,1933,151
Wilma,F,1910,152
Thelma,F,1902,153
Grace,F,1883,154
Toni,F,1862,155
Jill,F,1859,156
Maryann,F,1858,157
Eleanor,F,1853,158
Florence,F,1850,159
Marion,F,1847,160
Janie,F,1845,161
Esther,F,1842,162
Sheryl,F,1835,163
Pat,F,1823,164
Gladys,F,1820,165
Joy,F,1815,166
Rosa,F,1800,167
Eva,F,1783,168
Vickie,F,1706,169
Denise,F,1699,170
Stephanie,F,1693,171
Bernice,F,1688,172
Willie,F,1683,173
Jackie,F,1660,174
Billie,F,1653,175
Angela,F,1648,176
Ella,F,1635,177
Bobbie,F,1618,178
Marian,F,1606,179
Bertha,F,1603,180
Maxine,F,1584,181
Carla,F,1569,182
Hazel,F,1558,183
Valerie,F,1553,184
Dianna,F,1540,185
Regina,F,1491,186
Emily,F,1470,187
Beatrice,F,1465,188
Bonita,F,1448,189
Rachel,F,1447,190
Lillie,F,1441,191
Jacquelyn,F,1390,192
Faye,F,1383,193
Yolanda,F,1378,194
Lana,F,1364,195
Jan,F,1358,196
Sandy,F,1354,197
Veronica,F,1353,198
Ida,F,1347,199
Stella,F,1334,200
Harriet,F,1324,201
Lucy,F,1322,202
Patty,F,1318,203
Candace,F,1317,204
Becky,F,1298,205
Marianne,F,1292,206
Christina,F,1285,207
Dawn,F,1269,208
Colleen,F,1267,209
Deanna,F,1263,210
Bernadette,F,1253,211
Carmen,F,1237,212
Vera,F,1218,213
Rosie,F,1209,214
Alma,F,1184,215
Claire,F,1180,216
Beth,F,1179,217
Carrie,F,1170,218
Jessie,F,1157,219
Caroline,F,1150,220
Rosemarie,F,1148,221
Myra,F,1141,222
Cindy,F,1133,223
Mattie,F,1124,224
Nora,F,1096,225
Rosalie,F,1078,226
Susie,F,1071,227
Dixie,F,1063,228
Minnie,F,1051,229
Lydia,F,1050,230
Dora,F,1041,231
Francine,F,1040,232
Bessie,F,1012,233
Renee,F,1001,234
Nina,F,999,235
Johnnie,F,995,236
Jeannette,F,994,237
Antoinette,F,992,238
Deloris,F,990,239
Trudy,F,975,240
Wendy,F,974,241
Cecilia,F,973,242
Madeline,F,972,243
Elsie,F,953,244
Robin,F,936,245
Geneva,F,925,246
Sharyn,F,919,247
Michelle,F,914,248
Cecelia,F,890,249
Nellie,F,876,250
Ramona,F,869,251
Iris,F,865,252
Mae,F,859,253
Lee,F,857,254
Olivia,F,857,255
Doreen,F,853,256
Irma,F,853,257
Marguerite,F,853,258
Cora,F,848,259
Velma,F,848,260
Betsy,F,847,261
Hilda,F,843,262
Naomi,F,840,263
Agnes,F,839,264
Ernestine,F,838,265
Vicky,F,824,266
Dale,F,817,267
Leona,F,815,268
Saundra,F,813,269
Viola,F,813,270
Gale,F,796,271
Penelope,F,796,272
Laurie,F,789,273
Terri,F,780,274
Hattie,F,779,275
Verna,F,777,276
Laurel,F,775,277
Alberta,F,772,278
Melody,F,759,279
Sharron,F,757,280
Miriam,F,756,281
Alicia,F,747,282
Shelia,F,744,283
Bette,F,739,284
Bettye,F,738,285
Della,F,732,286
Cheri,F,731,287
Jennie,F,731,288
Jeannie,F,727,289
Marcella,F,720,290
Kristine,F,718,291
Dana,F,716,292
Pearl,F,713,293
Lola,F,710,294
Holly,F,708,295
Lena,F,706,296
Eunice,F,705,297
Gertrude,F,702,298
Melinda,F,696,299
Susanne,F,693,300
Lula,F,689,301
Ginger,F,684,302
Debra,F,679,303
Daisy,F,678,304
Pam,F,667,305
Patti,F,663,306
Bettie,F,649,307
Myrna,F,646,308
Sondra,F,631,309
Violet,F,626,310
Monica,F,615,311
Glenna,F,613,312
Erma,F,608,313
Judi,F,607,314
Sallie,F,605,315
Laverne,F,603,316
Rhonda,F,603,317
Debbie,F,598,318
Lucinda,F,596,319
Myrtle,F,596,320
Fannie,F,595,321
Margo,F,595,322
Katie,F,586,323
Claudette,F,582,324
Guadalupe,F,581,325
Helene,F,581,326
Eloise,F,580,327
Amy,F,577,328
Flora,F,577,329
Lynette,F,574,330
Noreen,F,574,331
Gretchen,F,570,332
Sherrie,F,569,333
Cathleen,F,568,334
Henrietta,F,566,335
Mamie,F,564,336
Jayne,F,559,337
Diann,F,557,338
Nadine,F,556,339
