Name,Sex,Births,Ranking
Emily,F,19366,1
Isabella,F,19143,2
Emma,F,18388,3
Ava,F,18053,4
Madison,F,17968,5
Sophia,F,17031,6
Olivia,F,16588,7
Abigail,F,15476,8
Hannah,F,13322,9
Elizabeth,F,13070,10
Addison,F,11949,11
Samantha,F,11883,12
Ashley,F,11428,13
Alyssa,F,11275,14
Mia,F,10921,15
Chloe,F,10759,16
Natalie,F,10443,17
Sarah,F,10010,18
Alexis,F,9923,19
Grace,F,9768,20
Ella,F,9553,21
Brianna,F,8855,22
Hailey,F,8439,23
Taylor,F,7965,24
Anna,F,7900,25
Kayla,F,7583,26
Lily,F,7499,27
Lauren,F,7436,28
Victoria,F,7435,29
Savannah,F,7051,30
Nevaeh,F,6818,31
Jasmine,F,6780,32
Lillian,F,6552,33
Julia,F,6133,34
Kaylee,F,6050,35
Sofia,F,6049,36
Sydney,F,6032,37
Gabriella,F,5839,38
Katherine,F,5818,39
Alexa,F,5785,40
Destiny,F,5742,41
Jessica,F,5714,42
Morgan,F,5665,43
Kaitlyn,F,5551,44
Brooke,F,5508,45
Allison,F,5454,46
Makayla,F,5428,47
Avery,F,5386,48
Alexandra,F,5354,49
Jocelyn,F,5293,50
Audrey,F,5249,51
Riley,F,5212,52
Maria,F,5129,53
Kimberly,F,5102,54
Evelyn,F,5054,55
Zoe,F,4937,56
Brooklyn,F,4887,57
Angelina,F,4860,58
Rachel,F,4838,59
Andrea,F,4798,60
Madeline,F,4705,61
Maya,F,4701,62
Kylie,F,4659,63
Jennifer,F,4653,64
Mackenzie,F,4628,65
Claire,F,4612,66
Leah,F,4555,67
Gabrielle,F,4544,68
Aubrey,F,4506,69
Arianna,F,4481,70
Vanessa,F,4447,71
Trinity,F,4374,72
Ariana,F,4326,73
Faith,F,4307,74
Katelyn,F,4258,75
Haley,F,4200,76
Amelia,F,4194,77
Megan,F,4124,78
Isabelle,F,4105,79
Sara,F,4024,80
Melanie,F,4000,81
Sophie,F,3988,82
Aaliyah,F,3960,83
Bailey,F,3934,84
Layla,F,3902,85
Nicole,F,3873,86
Isabel,F,3864,87
Stephanie,F,3811,88
Paige,F,3796,89
Autumn,F,3718,90
Gianna,F,3713,91
Mariah,F,3707,92
Mary,F,3693,93
Michelle,F,3596,94
Jada,F,3571,95
Gracie,F,3480,96
Molly,F,3415,97
Valeria,F,3412,98
Caroline,F,3408,99
Jordan,F,3332,100
Charlotte,F,3330,101
Mya,F,3325,102
Jenna,F,3304,103
Madelyn,F,3216,104
Rebecca,F,3215,105
Diana,F,3182,106
Sadie,F,3178,107
Daniela,F,3079,108
Natalia,F,3072,109
Kennedy,F,3053,110
Amanda,F,3048,111
Zoey,F,3044,112
Jade,F,3036,113
Katie,F,3001,114
Adriana,F,2927,115
Ruby,F,2900,116
Eva,F,2893,117
Gabriela,F,2860,118
Amy,F,2829,119
Briana,F,2825,120
Naomi,F,2789,121
Danielle,F,2779,122
Peyton,F,2774,123
Lydia,F,2772,124
Angela,F,2756,125
Serenity,F,2738,126
Leslie,F,2690,127
Keira,F,2677,128
Camila,F,2664,129
Rylee,F,2627,130
Jayla,F,2625,131
Marissa,F,2622,132
Jacqueline,F,2621,133
Giselle,F,2596,134
Lucy,F,2571,135
Kate,F,2550,136
Melissa,F,2505,137
Breanna,F,2497,138
Jordyn,F,2488,139
Genesis,F,2485,140
Erin,F,2477,141
Catherine,F,2472,142
Alana,F,2461,143
Valerie,F,2424,144
Amber,F,2405,145
Lilly,F,2402,146
