Name,Sex,Births,Ranking
Jennifer,F,63106,1
Amy,F,29564,2
Michelle,F,25828,3
Heather,F,23180,4
Angela,F,22803,5
Kimberly,F,22427,6
Melissa,F,22166,7
Lisa,F,19777,8
Stephanie,F,16983,9
Rebecca,F,15165,10
Nicole,F,13114,11
Elizabeth,F,12263,12
Mary,F,11739,13
Julie,F,11360,14
Kelly,F,10849,15
Christina,F,10848,16
Jessica,F,10655,17
Shannon,F,10608,18
Christine,F,9901,19
Sarah,F,9790,20
Laura,F,9716,21
Dawn,F,9417,22
Tracy,F,9285,23
Tammy,F,9238,24
Tina,F,8668,25
Karen,F,8644,26
Susan,F,8471,27
April,F,8454,28
Patricia,F,8036,29
Lori,F,7960,30
Maria,F,7804,31
Wendy,F,7564,32
Cynthia,F,7558,33
Amanda,F,7473,34
Andrea,F,7471,35
Rachel,F,7399,36
Tonya,F,6877,37
Stacy,F,6741,38
Tara,F,6656,39
Danielle,F,6629,40
Tiffany,F,6479,41
Carrie,F,6437,42
Monica,F,6281,43
Sandra,F,6270,44
Kristen,F,6053,45
Tanya,F,5996,46
Erin,F,5868,47
Stacey,F,5803,48
Crystal,F,5624,49
Michele,F,5587,50
Melanie,F,5483,51
Teresa,F,5397,52
Denise,F,5396,53
Pamela,F,5272,54
Dana,F,5159,55
Holly,F,5144,56
Christy,F,5067,57
Jill,F,5060,58
Brenda,F,4829,59
Heidi,F,4683,60
Sara,F,4651,61
Katherine,F,4532,62
Robin,F,4525,63
Tamara,F,4525,64
Leslie,F,4463,65
Misty,F,4439,66
Donna,F,4354,67
Deborah,F,4343,68
Emily,F,4330,69
Sharon,F,4276,70
Veronica,F,4226,71
Kristin,F,4217,72
Catherine,F,4183,73
Erica,F,4121,74
Linda,F,4077,75
Kathleen,F,3953,76
Barbara,F,3906,77
Nancy,F,3891,78
Theresa,F,3856,79
Brandy,F,3832,80
Melinda,F,3752,81
Anna,F,3621,82
Jacqueline,F,3573,83
Gina,F,3560,84
Renee,F,3528,85
Rhonda,F,3525,86
Diana,F,3513,87
Cheryl,F,3497,88
Sherry,F,3436,89
Alicia,F,3435,90
Jodi,F,3306,91
Amber,F,3273,92
Valerie,F,3182,93
Debra,F,3129,94
Margaret,F,3087,95
Paula,F,3061,96
Jamie,F,3020,97
Kathryn,F,2991,98
Allison,F,2959,99
Ann,F,2928,100
Kristina,F,2888,101
Kristi,F,2884,102
Cindy,F,2852,103
Victoria,F,2844,104
Megan,F,2818,105
Brandi,F,2809,106
Shelly,F,2797,107
Tracey,F,2759,108
Joy,F,2757,109
Christie,F,2704,110
Suzanne,F,2697,111
Yolanda,F,2632,112
Regina,F,2586,113
Carla,F,2571,114
Deanna,F,2558,115
Laurie,F,2555,116
Beth,F,2523,117
Carolyn,F,2472,118
Natalie,F,2467,119
Anne,F,2461,120
Sheila,F,2438,121
Vanessa,F,2352,122
Colleen,F,2344,123
Courtney,F,2337,124
Kara,F,2304,125
Katrina,F,2278,126
Erika,F,2265,127
Samantha,F,2251,128
Diane,F,2227,129
Janet,F,2175,130
Jenny,F,2131,131
Sonya,F,2111,132
Kristy,F,2090,133
