Name,Sex,Births,Ranking
Emily,F,25041,1
Emma,F,21620,2
Madison,F,20628,3
Olivia,F,16108,4
Hannah,F,15613,5
Abigail,F,15435,6
Isabella,F,15021,7
Ashley,F,14377,8
Samantha,F,13787,9
Elizabeth,F,13574,10
Alexis,F,13477,11
Sarah,F,12754,12
Grace,F,12536,13
Alyssa,F,12109,14
Sophia,F,10919,15
Lauren,F,9983,16
Brianna,F,9804,17
Kayla,F,9773,18
Natalie,F,9689,19
Anna,F,9529,20
Jessica,F,9470,21
Taylor,F,9303,22
Chloe,F,8729,23
Hailey,F,8685,24
Ava,F,8645,25
Jasmine,F,8492,26
Sydney,F,8368,27
Victoria,F,8279,28
Ella,F,8251,29
Mia,F,7399,30
Morgan,F,7295,31
Julia,F,7149,32
Kaitlyn,F,6988,33
Rachel,F,6920,34
Katherine,F,6742,35
Megan,F,6687,36
Alexandra,F,6625,37
Destiny,F,6546,38
Jennifer,F,6545,39
Allison,F,5873,40
Savannah,F,5814,41
Maria,F,5757,42
Nicole,F,5741,43
Haley,F,5728,44
Mackenzie,F,5728,45
Brooke,F,5712,46
Makayla,F,5666,47
Trinity,F,5638,48
Kylie,F,5557,49
Kaylee,F,5444,50
Paige,F,5441,51
Faith,F,5420,52
Lily,F,5402,53
Zoe,F,5363,54
Stephanie,F,5181,55
Jenna,F,5175,56
Andrea,F,5056,57
Riley,F,4982,58
Katelyn,F,4952,59
Angelina,F,4917,60
Kimberly,F,4846,61
Mary,F,4835,62
Madeline,F,4767,63
Leah,F,4744,64
Lillian,F,4734,65
Michelle,F,4720,66
Amanda,F,4691,67
Sara,F,4507,68
Sofia,F,4474,69
Rebecca,F,4472,70
Jordan,F,4447,71
Alexa,F,4440,72
Gabrielle,F,4420,73
Caroline,F,4379,74
Vanessa,F,4350,75
Gabriella,F,4256,76
Avery,F,4044,77
Marissa,F,4009,78
Ariana,F,3996,79
Audrey,F,3903,80
Jada,F,3891,81
Autumn,F,3868,82
Maya,F,3766,83
Evelyn,F,3763,84
Jocelyn,F,3743,85
Arianna,F,3686,86
Amber,F,3639,87
Isabel,F,3638,88
Melanie,F,3583,89
Diana,F,3554,90
Danielle,F,3530,91
Sierra,F,3520,92
Leslie,F,3500,93
Aaliyah,F,3492,94
Erin,F,3367,95
Amelia,F,3352,96
Molly,F,3344,97
Melissa,F,3338,98
Claire,F,3333,99
Bailey,F,3309,100
Brooklyn,F,3267,101
Katie,F,3226,102
Catherine,F,3181,103
Nevaeh,F,3181,104
Angela,F,3162,105
Amy,F,3115,106
Isabelle,F,3099,107
Jacqueline,F,3066,108
Jade,F,3051,109
Gabriela,F,3024,110
Madelyn,F,3006,111
Shelby,F,2988,112
Mariah,F,2982,113
Gracie,F,2941,114
Breanna,F,2898,115
Mya,F,2896,116
Kennedy,F,2886,117
Daniela,F,2840,118
Adriana,F,2831,119
Briana,F,2825,120
Courtney,F,2763,121
Kathryn,F,2757,122
Christina,F,2736,123
Gianna,F,2727,124
Alexandria,F,2653,125
Lydia,F,2633,126
Angel,F,2614,127
Miranda,F,2613,128
Laura,F,2556,129
Alicia,F,2517,130
Ashlyn,F,2455,131
Alexia,F,2449,132
Margaret,F,2436,133
Peyton,F,2394,134
Sophie,F,2388,135
Rylee,F,2375,136
Kendall,F,2360,137
Kelly,F,2357,138
Ana,F,2348,139
Summer,F,2333,140
Kylee,F,2296,141
Natalia,F,2293,142
Naomi,F,2276,143
Daisy,F,2271,144
Reagan,F,2269,145
Lindsey,F,2255,146
Kate,F,2218,147
Kelsey,F,2198,148
Cheyenne,F,2190,149
Sabrina,F,2190,150
Mckenzie,F,2184,151
Jillian,F,2179,152
Alondra,F,2178,153
Skylar,F,2176,154
Karen,F,2168,155
Mikayla,F,2159,156
Paris,F,2150,157
Ruby,F,2120,158
Payton,F,2077,159
Addison,F,2055,160
Caitlin,F,2050,161
Kyla,F,2038,162
Crystal,F,2034,163
Juliana,F,2031,164
Caitlyn,F,2030,165
Abby,F,2024,166
Layla,F,2012,167
Cassidy,F,2007,168
Delaney,F,2002,169
Charlotte,F,1994,170
Mariana,F,1991,171
Bianca,F,1986,172
Cassandra,F,1973,173
Valeria,F,1959,174
Tiffany,F,1958,175
Angelica,F,1941,176
Carly,F,1926,177
Alana,F,1913,178
Hope,F,1912,179
Valerie,F,1905,180
Jasmin,F,1886,181
Giselle,F,1884,182
Erica,F,1874,183
Genesis,F,1858,184
Jazmin,F,1857,185
Jordyn,F,1833,186
Kiara,F,1828,187
Mallory,F,1828,188
Ellie,F,1817,189
Aubrey,F,1816,190
Serenity,F,1786,191
Erika,F,1772,192
Veronica,F,1769,193
Chelsea,F,1752,194
Sadie,F,1752,195
Karla,F,1749,196
Karina,F,1734,197
Eva,F,1729,198
Jamie,F,1726,199
Julianna,F,1683,200
Brenda,F,1660,201
Mckenna,F,1656,202
Lucy,F,1642,203
Celeste,F,1637,204
Maggie,F,1631,205
Alejandra,F,1630,206
Bethany,F,1629,207
Zoey,F,1622,208
Amaya,F,1619,209
Adrianna,F,1616,210
Lilly,F,1616,211
Esmeralda,F,1613,212
Makenzie,F,1604,213
Nadia,F,1585,214
Elena,F,1584,215
Jayla,F,1561,216
Meghan,F,1557,217
Cadence,F,1552,218
Ariel,F,1546,219
Kyra,F,1543,220
Aliyah,F,1529,221
