Name,Sex,Births,Ranking
Mary,F,14961,1
Helen,F,6488,2
Anna,F,5330,3
Margaret,F,5302,4
Ruth,F,4900,5
Elizabeth,F,3833,6
Marie,F,3595,7
Florence,F,3572,8
Mildred,F,3525,9
Dorothy,F,3477,10
Ethel,F,3296,11
Lillian,F,3139,12
Alice,F,3131,13
Gladys,F,2976,14
Edna,F,2762,15
Frances,F,2657,16
Annie,F,2631,17
Rose,F,2631,18
Grace,F,2513,19
Bertha,F,2363,20
Bessie,F,2340,21
Emma,F,2312,22
Hazel,F,2301,23
Clara,F,2281,24
Gertrude,F,2269,25
Irene,F,2212,26
Mabel,F,2172,27
Louise,F,2136,28
Martha,F,2019,29
Pearl,F,2015,30
Catherine,F,1983,31
Esther,F,1957,32
Edith,F,1944,33
Myrtle,F,1905,34
Minnie,F,1885,35
Eva,F,1858,36
Thelma,F,1757,37
Ida,F,1751,38
Elsie,F,1719,39
Josephine,F,1701,40
Ruby,F,1701,41
Agnes,F,1672,42
Sarah,F,1594,43
Nellie,F,1560,44
Beatrice,F,1549,45
Viola,F,1545,46
Laura,F,1508,47
Ella,F,1432,48
Julia,F,1426,49
Evelyn,F,1372,50
Lillie,F,1364,51
Mattie,F,1362,52
Lucille,F,1351,53
Carrie,F,1280,54
Alma,F,1257,55
Pauline,F,1243,56
Lena,F,1228,57
Mae,F,1214,58
Virginia,F,1213,59
Jessie,F,1197,60
Willie,F,1188,61
Blanche,F,1142,62
Katherine,F,1128,63
Hattie,F,1123,64
Marion,F,1109,65
Lucy,F,1086,66
Mamie,F,1041,67
Stella,F,1026,68
Leona,F,998,69
Cora,F,993,70
Vera,F,993,71
Beulah,F,983,72
Fannie,F,964,73
Jennie,F,964,74
Bernice,F,962,75
Rosa,F,903,76
Lula,F,894,77
Ann,F,880,78
Ada,F,878,79
Eleanor,F,868,80
Maggie,F,805,81
Dora,F,788,82
Kathryn,F,787,83
Ellen,F,774,84
Daisy,F,772,85
Maude,F,757,86
Violet,F,755,87
Doris,F,736,88
Georgia,F,736,89
Lois,F,727,90
Betty,F,707,91
Sadie,F,703,92
Nora,F,698,93
Marguerite,F,684,94
Susie,F,662,95
Marjorie,F,639,96
Anne,F,631,97
Hilda,F,629,98
Lola,F,624,99
Opal,F,621,100
Velma,F,615,101
Della,F,607,102
Emily,F,599,103
Inez,F,596,104
Effie,F,578,105
Olive,F,573,106
Flora,F,569,107
Theresa,F,561,108
May,F,555,109
Charlotte,F,554,110
Nettie,F,547,111
Lydia,F,545,112
Alberta,F,517,113
Goldie,F,513,114
Nancy,F,508,115
Loretta,F,506,116
Eunice,F,502,117
Lottie,F,497,118
Sylvia,F,497,119
Katie,F,494,120
Mable,F,485,121
Jean,F,483,122
Sallie,F,483,123
Genevieve,F,481,124
Eula,F,480,125
Vivian,F,470,126
Rosie,F,468,127
Estelle,F,464,128
Essie,F,457,129
Ollie,F,456,130
Henrietta,F,449,131
Harriet,F,448,132
Lucile,F,433,133
Addie,F,432,134
Lela,F,431,135
Caroline,F,429,136
Verna,F,429,137
Iva,F,424,138
Lizzie,F,420,139
Ora,F,412,140
Marian,F,406,141
Jane,F,395,142
Madeline,F,393,143
Maria,F,393,144
Geneva,F,374,145
Rebecca,F,371,146
Kathleen,F,362,147
Irma,F,360,148
Sara,F,359,149
Sophie,F,359,150
Barbara,F,357,151
Rachel,F,356,152
Amelia,F,353,153
Wilma,F,352,154
Naomi,F,350,155
Nina,F,348,156
Erma,F,345,157
Estella,F,344,158
Juanita,F,344,159
Etta,F,343,160
Flossie,F,338,161
Mollie,F,336,162
Ola,F,335,163
Alta,F,327,164
Christine,F,325,165
Susan,F,324,166
Victoria,F,320,167
Olga,F,298,168
Amanda,F,294,169
Celia,F,293,170
Nannie,F,289,171
Matilda,F,285,172
Fern,F,281,173
Norma,F,281,174
Frieda,F,280,175
Sally,F,278,176
Audrey,F,276,177
Cecelia,F,272,178
Janie,F,272,179
Isabel,F,271,180
Bonnie,F,268,181
Allie,F,261,182
Hannah,F,261,183
Virgie,F,261,184
Adeline,F,259,185
Lila,F,259,186
Freda,F,256,187
Amy,F,255,188
Winifred,F,252,189
Cecilia,F,250,190
Luella,F,246,191
Leola,F,244,192
Elva,F,234,193
Selma,F,231,194
Cleo,F,230,195
Ina,F,230,196
Sophia,F,230,197
Jewel,F,229,198
Miriam,F,227,199
Nell,F,226,200
Rena,F,225,201
Isabelle,F,223,202
Jeanette,F,221,203
Geraldine,F,219,204
Faye,F,214,205
Muriel,F,214,206
Kate,F,213,207
Jeannette,F,212,208
Roberta,F,211,209
Josie,F,206,210
Belle,F,205,211
Eliza,F,204,212
Veronica,F,203,213
Winnie,F,203,214
Jewell,F,202,215
Margie,F,199,216
Regina,F,198,217
Zelma,F,198,218
Dollie,F,191,219
Anita,F,190,220
Tillie,F,189,221
Augusta,F,188,222
Bertie,F,188,223
Antoinette,F,186,224
Fay,F,186,225
Delia,F,184,226
Carolyn,F,183,227
Millie,F,181,228
Phyllis,F,181,229
Teresa,F,179,230
Gracie,F,178,231
Johnnie,F,175,232
Lessie,F,175,233
Cecile,F,173,234
Gussie,F,173,235
Rosalie,F,173,236
Callie,F,170,237
Madge,F,170,238
Hester,F,169,239
Dorothea,F,168,240
Maudie,F,166,241
Rita,F,166,242
Adele,F,163,243
Claire,F,163,244
Sue,F,163,245
Angelina,F,161,246
Mayme,F,161,247
Elma,F,160,248
Maud,F,159,249
Olivia,F,157,250
Lelia,F,156,251
Bettie,F,155,252
Elnora,F,155,253
Letha,F,155,254
Roxie,F,153,255
Angeline,F,151,256
Birdie,F,151,257
Lulu,F,151,258
Leah,F,149,259
Leila,F,148,260
Marcella,F,146,261
Hallie,F,144,262
Lora,F,144,263
Ila,F,143,264
Lorena,F,140,265
Nola,F,140,266
Lee,F,139,267
Cornelia,F,138,268
Dolores,F,138,269
Lenora,F,138,270
Neva,F,138,271
Shirley,F,138,272
June,F,133,273
Lilly,F,133,274
Lorene,F,133,275
Cecil,F,130,276
Dovie,F,129,277
Janet,F,128,278
Reba,F,128,279
Constance,F,127,280
Corinne,F,127,281
Lorraine,F,126,282
Zella,F,126,283
Dessie,F,125,284
Johanna,F,125,285
Angela,F,124,286
Patricia,F,124,287
Adelaide,F,123,288
Annette,F,123,289
Christina,F,123,290
Francis,F,122,291
Ernestine,F,121,292
Helene,F,121,293
Eileen,F,120,294
Eloise,F,120,295
Myra,F,119,296
Lou,F,117,297
Pearlie,F,117,298
Edythe,F,116,299
Elvira,F,116,300
Rhoda,F,116,301
Wanda,F,116,302
Eugenia,F,113,303
Hettie,F,113,304
Helena,F,112,305
Oma,F,111,306
Peggy,F,111,307
Jeanne,F,109,308
Katharine,F,109,309
Ophelia,F,109,310
