Name,Sex,Births,Ranking
Jessica,F,55996,1
Ashley,F,54853,2
Amanda,F,41786,3
Jennifer,F,32708,4
Sarah,F,27895,5
Stephanie,F,22402,6
Brittany,F,22231,7
Nicole,F,20286,8
Heather,F,18982,9
Elizabeth,F,18608,10
Samantha,F,17944,11
Megan,F,17823,12
Melissa,F,17674,13
Danielle,F,17009,14
Amber,F,16749,15
Lauren,F,16708,16
Rachel,F,15644,17
Tiffany,F,14743,18
Emily,F,14711,19
Christina,F,13818,20
Michelle,F,13034,21
Laura,F,13032,22
Kimberly,F,13030,23
Amy,F,11787,24
Rebecca,F,11626,25
Crystal,F,11011,26
Kayla,F,10579,27
Katherine,F,10438,28
Sara,F,10090,29
Kelly,F,9866,30
Erica,F,9328,31
Whitney,F,8923,32
Courtney,F,8909,33
Erin,F,8847,34
Angela,F,8581,35
Andrea,F,8496,36
Mary,F,8395,37
Katie,F,8196,38
Jamie,F,7916,39
Lisa,F,7549,40
Lindsey,F,7457,41
Kristen,F,7360,42
Vanessa,F,7348,43
Allison,F,7340,44
Shannon,F,6968,45
Alicia,F,6776,46
Chelsea,F,6630,47
Christine,F,6620,48
Lindsay,F,6530,49
Victoria,F,6255,50
Kathryn,F,6237,51
Anna,F,6169,52
Maria,F,5677,53
Jacqueline,F,5627,54
Kristin,F,5463,55
Natalie,F,5330,56
Jenna,F,5305,57
April,F,5295,58
Alexandra,F,5219,59
Alyssa,F,5136,60
Brittney,F,5127,61
Kristina,F,5018,62
Caitlin,F,4989,63
Monica,F,4809,64
Julie,F,4739,65
Hannah,F,4594,66
Kelsey,F,4574,67
Cassandra,F,4555,68
Tara,F,4446,69
Krystal,F,4378,70
Holly,F,4259,71
Kathleen,F,4165,72
Natasha,F,4131,73
Catherine,F,4108,74
Erika,F,3994,75
Patricia,F,3913,76
Kendra,F,3841,77
Meghan,F,3771,78
Jasmine,F,3723,79
Veronica,F,3616,80
Casey,F,3582,81
Leah,F,3454,82
Dana,F,3422,83
Cynthia,F,3392,84
Diana,F,3355,85
Julia,F,3331,86
Bethany,F,3294,87
Brandi,F,3244,88
Leslie,F,3194,89
Margaret,F,3146,90
Mallory,F,3138,91
Brandy,F,3032,92
Valerie,F,2964,93
Brooke,F,2955,94
Morgan,F,2928,95
Felicia,F,2909,96
Molly,F,2891,97
Rachael,F,2833,98
Jillian,F,2793,99
Alison,F,2771,100
Stacy,F,2746,101
Melanie,F,2745,102
Stacey,F,2709,103
Kara,F,2699,104
Katrina,F,2613,105
Angelica,F,2601,106
Karen,F,2580,107
Krista,F,2550,108
Marissa,F,2544,109
Sabrina,F,2543,110
Nichole,F,2537,111
Ashlee,F,2466,112
Alexis,F,2460,113
Dominique,F,2444,114
Sandra,F,2411,115
Jaclyn,F,2404,116
Lacey,F,2399,117
Alisha,F,2392,118
Carrie,F,2389,119
Candace,F,2329,120
Candice,F,2292,121
Brianna,F,2287,122
Gina,F,2269,123
Desiree,F,2251,124
Susan,F,2247,125
Nancy,F,2235,126
Katelyn,F,2219,127
Latoya,F,2151,128
Brenda,F,2150,129
Monique,F,2118,130
Kelli,F,2110,131
Denise,F,2104,132
Joanna,F,2056,133
Renee,F,2048,134
Caroline,F,2047,135
Meagan,F,2003,136
Yesenia,F,2003,137
Abigail,F,2001,138
Tracy,F,1991,139
Miranda,F,1977,140
Kaitlin,F,1959,141
Linda,F,1931,142
Melinda,F,1920,143
Heidi,F,1915,144
Robin,F,1911,145
Jordan,F,1901,146
Anne,F,1868,147
Meredith,F,1815,148
Carolyn,F,1813,149
Tina,F,1811,150
Tabitha,F,1809,151
Sasha,F,1802,152
Pamela,F,1783,153
Teresa,F,1781,154
Cassie,F,1755,155
Tanya,F,1750,156
Ebony,F,1748,157
Colleen,F,1747,158
Theresa,F,1739,159
Tamara,F,1735,160
Rebekah,F,1732,161
Misty,F,1712,162
Kaitlyn,F,1706,163
Taylor,F,1705,164
Jenny,F,1701,165
Olivia,F,1700,166
Kari,F,1670,167
Priscilla,F,1648,168
Ana,F,1647,169
Deanna,F,1638,170
Paige,F,1637,171
Barbara,F,1632,172
Sierra,F,1620,173
Gabrielle,F,1604,174
Emma,F,1589,175
Justine,F,1587,176
Britney,F,1585,177
Haley,F,1557,178
Alexandria,F,1554,179
Bridget,F,1540,180
Kristy,F,1513,181
Mayra,F,1512,182
Marie,F,1499,183
Audrey,F,1487,184
Cristina,F,1479,185
Chelsey,F,1477,186
Savannah,F,1469,187
Adrienne,F,1467,188
Jacquelyn,F,1467,189
Briana,F,1450,190
Kate,F,1449,191
Angel,F,1445,192
Autumn,F,1441,193
Cindy,F,1424,194
Kristi,F,1421,195
Carly,F,1412,196
Jill,F,1409,197
Grace,F,1379,198
Kristine,F,1369,199
Wendy,F,1356,200
Ashleigh,F,1348,201
Claire,F,1335,202
Kasey,F,1315,203
Janet,F,1313,204
Michele,F,1310,205
Claudia,F,1304,206
Christy,F,1293,207
Tasha,F,1278,208
Nina,F,1265,209
Stefanie,F,1259,210
Sharon,F,1249,211
Virginia,F,1246,212
Cara,F,1232,213
Aimee,F,1229,214
Jessie,F,1223,215
Janelle,F,1218,216
Toni,F,1216,217
Adriana,F,1210,218
Lydia,F,1210,219
Krystle,F,1207,220
Ann,F,1204,221
Deborah,F,1203,222
Latasha,F,1202,223
Regina,F,1200,224
Carla,F,1198,225
Kelley,F,1196,226
Tonya,F,1189,227
Trisha,F,1189,228
Lori,F,1172,229
Raquel,F,1170,230
Dawn,F,1154,231
Sheena,F,1154,232
Kellie,F,1153,233
Carmen,F,1151,234
Elise,F,1143,235
Martha,F,1143,236
Shawna,F,1125,237
Sophia,F,1124,238
Jaime,F,1108,239
Ellen,F,1079,240
Hillary,F,1079,241
Nikki,F,1073,242
Jeanette,F,1066,243
Randi,F,1062,244
Abby,F,1052,245
Robyn,F,1050,246
Summer,F,1042,247
Donna,F,1031,248
Ruth,F,1031,249
Roxanne,F,1021,250
Christa,F,1018,251
Shana,F,1018,252
Evelyn,F,1012,253
Amelia,F,1006,254
