Name,Sex,Births,Ranking
Jessica,F,52684,1
Ashley,F,49672,2
Amanda,F,40532,3
Jennifer,F,36189,4
Sarah,F,28164,5
Stephanie,F,22648,6
Nicole,F,21292,7
Brittany,F,20313,8
Heather,F,19789,9
Elizabeth,F,19074,10
Megan,F,18591,11
Melissa,F,17667,12
Amber,F,16955,13
Lauren,F,16683,14
Rachel,F,15456,15
Danielle,F,14943,16
Tiffany,F,14483,17
Kimberly,F,14418,18
Christina,F,14386,19
Laura,F,14173,20
Samantha,F,14092,21
Amy,F,13451,22
Michelle,F,13303,23
Emily,F,13236,24
Crystal,F,12689,25
Rebecca,F,11793,26
Sara,F,11052,27
Katherine,F,10570,28
Kelly,F,10411,29
Erin,F,10068,30
Erica,F,9972,31
Whitney,F,9536,32
Angela,F,9269,33
Jamie,F,9234,34
Courtney,F,9122,35
Andrea,F,8640,36
Mary,F,8507,37
Katie,F,8333,38
Lindsey,F,8051,39
Lisa,F,7906,40
Kristen,F,7844,41
Allison,F,7575,42
Vanessa,F,7468,43
Shannon,F,7403,44
Alicia,F,7017,45
Lindsay,F,6952,46
Christine,F,6917,47
Kathryn,F,6393,48
Maria,F,6141,49
Kristin,F,6000,50
Anna,F,5906,51
Natalie,F,5707,52
April,F,5677,53
Victoria,F,5676,54
Jenna,F,5416,55
Tara,F,5085,56
Jacqueline,F,5036,57
Julie,F,5016,58
Monica,F,5014,59
Cassandra,F,4989,60
Krystal,F,4929,61
Holly,F,4839,62
Kristina,F,4839,63
Kayla,F,4657,64
Brittney,F,4593,65
Patricia,F,4246,66
Catherine,F,4242,67
Kathleen,F,4129,68
Caitlin,F,3881,69
Natasha,F,3872,70
Meghan,F,3869,71
Alexandra,F,3809,72
Chelsea,F,3753,73
Erika,F,3678,74
Diana,F,3669,75
Valerie,F,3618,76
Veronica,F,3579,77
Leah,F,3457,78
Brandi,F,3432,79
Casey,F,3423,80
Cynthia,F,3422,81
Hannah,F,3388,82
Mallory,F,3325,83
Brandy,F,3295,84
