Name,Sex,Births,Ranking
Jennifer,F,58187,1
Amy,F,32253,2
Heather,F,24302,3
Melissa,F,24167,4
Angela,F,23360,5
Michelle,F,22667,6
Kimberly,F,20258,7
Lisa,F,18139,8
Stephanie,F,15775,9
Nicole,F,14277,10
Rebecca,F,13926,11
Christina,F,12980,12
Jessica,F,12928,13
Amanda,F,12656,14
Elizabeth,F,12473,15
Kelly,F,11737,16
Sarah,F,11170,17
Julie,F,11144,18
Mary,F,10972,19
Laura,F,10312,20
Shannon,F,9370,21
Christine,F,9103,22
Dawn,F,8744,23
Tracy,F,8510,24
April,F,8244,25
Rachel,F,8228,26
Karen,F,8168,27
Andrea,F,8043,28
Carrie,F,7854,29
Maria,F,7539,30
Tammy,F,7528,31
Susan,F,7487,32
Wendy,F,7473,33
Stacy,F,7169,34
Tina,F,7065,35
Patricia,F,7053,36
Tiffany,F,6921,37
Erin,F,6894,38
Lori,F,6651,39
Cynthia,F,6539,40
Tara,F,6455,41
Danielle,F,6412,42
Crystal,F,6242,43
Stacey,F,5930,44
Tonya,F,5897,45
Jill,F,5728,46
Misty,F,5552,47
Emily,F,5483,48
Monica,F,5476,49
Tanya,F,5378,50
Sandra,F,5376,51
Melanie,F,5368,52
Christy,F,5168,53
Sara,F,5131,54
Holly,F,5047,55
Michele,F,5033,56
Brandy,F,4944,57
Katherine,F,4852,58
Amber,F,4683,59
Kristen,F,4674,60
Teresa,F,4640,61
Dana,F,4620,62
Erica,F,4582,63
Denise,F,4462,64
Robin,F,4328,65
Heidi,F,4294,66
Brenda,F,4238,67
Jamie,F,4233,68
Megan,F,4192,69
Pamela,F,4177,70
Leslie,F,4105,71
Veronica,F,4060,72
Catherine,F,3935,73
Kristin,F,3880,74
Sharon,F,3732,75
Alicia,F,3718,76
Tamara,F,3629,77
Theresa,F,3611,78
Anna,F,3578,79
Kathleen,F,3545,80
Linda,F,3522,81
Nancy,F,3510,82
Barbara,F,3454,83
Gina,F,3431,84
Donna,F,3422,85
Deborah,F,3414,86
Renee,F,3406,87
Brandi,F,3369,88
Allison,F,3347,89
Jacqueline,F,3314,90
Melinda,F,3282,91
Valerie,F,3227,92
Rhonda,F,3167,93
Jodi,F,3107,94
Sherry,F,3044,95
Christie,F,3028,96
Cheryl,F,2997,97
Margaret,F,2950,98
Kathryn,F,2947,99
Diana,F,2912,100
Samantha,F,2834,101
Courtney,F,2773,102
Kristina,F,2747,103
Ann,F,2716,104
Victoria,F,2712,105
Mandy,F,2710,106
Yolanda,F,2654,107
Paula,F,2652,108
Kristi,F,2646,109
Natalie,F,2637,110
Regina,F,2570,111
Cindy,F,2505,112
Shelly,F,2484,113
Debra,F,2444,114
Vanessa,F,2441,115
Felicia,F,2402,116
Tracey,F,2378,117
Kara,F,2358,118
Carolyn,F,2346,119
Beth,F,2324,120
Suzanne,F,2319,121
Carla,F,2315,122
Joy,F,2306,123
Anne,F,2286,124
Laurie,F,2284,125
Deanna,F,2276,126
Alison,F,2267,127
Erika,F,2256,128
Kari,F,2221,129
Tamika,F,2159,130
Katrina,F,2130,131
Leah,F,2118,132
Colleen,F,2100,133
Sheila,F,2099,134
Jenny,F,2064,135
Aimee,F,2031,136
Julia,F,2003,137
Ashley,F,1989,138
Janet,F,1950,139
Angie,F,1948,140
Kristy,F,1920,141
Diane,F,1909,142
Bridget,F,1862,143
Lauren,F,1845,144
Natasha,F,1843,145
Stacie,F,1840,146
Kristie,F,1817,147
Tricia,F,1804,148
Martha,F,1791,149
Carol,F,1785,150
Carmen,F,1776,151
Kelli,F,1769,152
Nichole,F,1764,153
Sonya,F,1760,154
Traci,F,1740,155
Virginia,F,1733,156
Anita,F,1722,157
Joanna,F,1699,158
Krista,F,1695,159
Kathy,F,1689,160
Shawna,F,1689,161
Jody,F,1685,162
Kerry,F,1677,163
Marie,F,1631,164
Terri,F,1601,165
Angel,F,1598,166
Kerri,F,1597,167
Cassandra,F,1587,168
Kristine,F,1559,169
Molly,F,1548,170
Shelley,F,1547,171
Robyn,F,1510,172
Kendra,F,1505,173
Keri,F,1502,174
Trisha,F,1501,175
Monique,F,1495,176
Sonia,F,1491,177
Kim,F,1481,178
Toni,F,1454,179
Claudia,F,1444,180
Meredith,F,1428,181
Lynn,F,1424,182
Charity,F,1420,183
Connie,F,1407,184
Rachael,F,1376,185
Adrienne,F,1371,186
Annette,F,1363,187
Bonnie,F,1345,188
