Name,Sex,Births,Ranking
Emma,F,20485,1
Olivia,F,19726,2
Sophia,F,17451,3
Ava,F,16410,4
Isabella,F,15661,5
Mia,F,14939,6
Abigail,F,12420,7
Emily,F,11806,8
Charlotte,F,11415,9
Harper,F,10310,10
Madison,F,10107,11
Amelia,F,9875,12
Elizabeth,F,9766,13
Sofia,F,9699,14
Evelyn,F,9376,15
Avery,F,9355,16
Chloe,F,7950,17
Ella,F,7917,18
Grace,F,7679,19
Victoria,F,7627,20
Aubrey,F,7403,21
Scarlett,F,7143,22
Zoey,F,6975,23
Addison,F,6734,24
Lily,F,6679,25
Lillian,F,6625,26
Natalie,F,6510,27
Hannah,F,6432,28
Aria,F,6419,29
Layla,F,6346,30
Brooklyn,F,6331,31
Alexa,F,6053,32
Zoe,F,6051,33
Penelope,F,5952,34
Riley,F,5738,35
Leah,F,5633,36
Audrey,F,5613,37
Savannah,F,5468,38
Allison,F,5356,39
Samantha,F,5347,40
Nora,F,5330,41
Skylar,F,5294,42
Camila,F,5275,43
Anna,F,5149,44
Paisley,F,5089,45
Ariana,F,4971,46
Aaliyah,F,4878,47
Ellie,F,4873,48
Claire,F,4837,49
Violet,F,4822,50
Stella,F,4798,51
Sadie,F,4763,52
Mila,F,4733,53
Gabriella,F,4630,54
Lucy,F,4555,55
Arianna,F,4547,56
Sarah,F,4534,57
Kennedy,F,4522,58
Madelyn,F,4486,59
Eleanor,F,4439,60
Kaylee,F,4376,61
Caroline,F,4333,62
Hazel,F,4302,63
Hailey,F,4251,64
Genesis,F,4168,65
Kylie,F,4162,66
Piper,F,4139,67
Maya,F,4131,68
Autumn,F,4124,69
Nevaeh,F,4025,70
Serenity,F,4001,71
Peyton,F,3906,72
Mackenzie,F,3868,73
Bella,F,3812,74
Naomi,F,3775,75
Eva,F,3771,76
Taylor,F,3754,77
Aurora,F,3651,78
Aubree,F,3635,79
Lydia,F,3512,80
Melanie,F,3494,81
Brianna,F,3475,82
Ruby,F,3467,83
Katherine,F,3454,84
Alexis,F,3435,85
Ashley,F,3427,86
Alice,F,3426,87
Cora,F,3403,88
Julia,F,3375,89
Faith,F,3347,90
Madeline,F,3339,91
Annabelle,F,3282,92
Alyssa,F,3255,93
Isabelle,F,3224,94
Vivian,F,3204,95
Gianna,F,3183,96
Quinn,F,3095,97
Clara,F,3070,98
Reagan,F,3060,99
Alexandra,F,3007,100
Khloe,F,3006,101
Eliana,F,2989,102
Hadley,F,2975,103
Sophie,F,2952,104
London,F,2921,105
Elena,F,2898,106
Bailey,F,2853,107
Kimberly,F,2843,108
Maria,F,2833,109
Jasmine,F,2813,110
Willow,F,2811,111
Luna,F,2809,112
Kinsley,F,2786,113
Valentina,F,2751,114
Kayla,F,2740,115
Delilah,F,2739,116
Andrea,F,2710,117
Natalia,F,2701,118
Lauren,F,2697,119
Rylee,F,2692,120
Morgan,F,2688,121
Sydney,F,2660,122
Mary,F,2642,123
Adalynn,F,2623,124
Ximena,F,2602,125
Jade,F,2569,126
Liliana,F,2566,127
Brielle,F,2539,128
Trinity,F,2524,129
Ivy,F,2505,130
Josephine,F,2505,131
Adalyn,F,2456,132
Jocelyn,F,2453,133
Emery,F,2424,134
Adeline,F,2412,135
Jordyn,F,2377,136
Ariel,F,2358,137
Everly,F,2331,138
Lilly,F,2323,139
Paige,F,2293,140
Lyla,F,2276,141
Isla,F,2272,142
Makayla,F,2260,143
Molly,F,2254,144
Emilia,F,2225,145
Mya,F,2208,146
Kendall,F,2199,147
Melody,F,2178,148
Isabel,F,2176,149
Brooke,F,2150,150
Mckenzie,F,2139,151
Mariah,F,2118,152
Payton,F,2117,153
Nicole,F,2116,154
Margaret,F,2110,155
Eden,F,2069,156
Athena,F,2052,157
Amy,F,2043,158
Norah,F,2031,159
Londyn,F,2026,160
Sara,F,1981,161
Valeria,F,1977,162
Angelina,F,1974,163
Aliyah,F,1972,164
Gracie,F,1962,165
Rose,F,1955,166
Rachel,F,1938,167
Juliana,F,1905,168
Brooklynn,F,1896,169
Laila,F,1889,170
Valerie,F,1880,171
Reese,F,1859,172
Alina,F,1857,173
Elise,F,1844,174
Eliza,F,1835,175
Alaina,F,1820,176
Catherine,F,1807,177
Raelynn,F,1807,178
Leilani,F,1806,179
Emerson,F,1798,180
Cecilia,F,1782,181
Genevieve,F,1778,182
Daisy,F,1772,183
Harmony,F,1769,184
Adriana,F,1735,185
Destiny,F,1732,186
Vanessa,F,1729,187
Presley,F,1728,188
Rebecca,F,1728,189
Julianna,F,1714,190
Hayden,F,1711,191
Michelle,F,1705,192
Summer,F,1692,193
Arabella,F,1688,194
Callie,F,1684,195
Adelyn,F,1680,196
Kaitlyn,F,1662,197
Ryleigh,F,1661,198
Lila,F,1658,199
Arya,F,1644,200
Daniela,F,1643,201
Alana,F,1629,202
Esther,F,1624,203
Finley,F,1602,204
Gabrielle,F,1602,205
Jessica,F,1591,206
Charlie,F,1562,207
Tessa,F,1560,208
Stephanie,F,1558,209
Makenzie,F,1549,210
Ana,F,1548,211
Alexandria,F,1542,212
Amaya,F,1528,213
Nova,F,1528,214
Alivia,F,1522,215
Iris,F,1509,216
Anastasia,F,1505,217
Marley,F,1499,218
Fiona,F,1495,219
Angela,F,1491,220
Giselle,F,1487,221
Kate,F,1477,222
Alayna,F,1463,223
Lola,F,1457,224
Hope,F,1452,225
Juliette,F,1452,226
Lucia,F,1452,227
Parker,F,1447,228
Sienna,F,1442,229
Georgia,F,1441,230
Teagan,F,1438,231
Cali,F,1437,232
Vivienne,F,1430,233
Izabella,F,1418,234
Kinley,F,1408,235
Daleyza,F,1396,236
Kylee,F,1395,237
Jayla,F,1393,238
Katelyn,F,1385,239
Juliet,F,1357,240
Maggie,F,1338,241
Dakota,F,1333,242
Delaney,F,1328,243
Brynlee,F,1319,244
Keira,F,1312,245
Aniyah,F,1308,246
Camille,F,1308,247
Leila,F,1307,248
Mckenna,F,1305,249
Josie,F,1293,250
Jennifer,F,1286,251
Noelle,F,1284,252
Melissa,F,1283,253
Eloise,F,1265,254
