Name,Sex,Births,Ranking
Mary,F,13447,1
Anna,F,5950,2
Helen,F,4023,3
Margaret,F,3931,4
Elizabeth,F,3603,5
Ruth,F,3551,6
Florence,F,3471,7
Ethel,F,3391,8
Marie,F,3011,9
Emma,F,2952,10
Bertha,F,2626,11
Clara,F,2613,12
Minnie,F,2567,13
Edna,F,2560,14
Bessie,F,2542,15
Lillian,F,2495,16
Alice,F,2457,17
Grace,F,2448,18
Annie,F,2390,19
Mabel,F,2359,20
Rose,F,2262,21
Hazel,F,2252,22
Ida,F,2170,23
Gertrude,F,2129,24
Martha,F,2096,25
Pearl,F,1958,26
Edith,F,1940,27
Myrtle,F,1938,28
Frances,F,1833,29
Nellie,F,1833,30
Esther,F,1803,31
Elsie,F,1795,32
Sarah,F,1777,33
Eva,F,1767,34
Ella,F,1692,35
Laura,F,1643,36
Louise,F,1582,37
Catherine,F,1514,38
Mildred,F,1474,39
Agnes,F,1466,40
Gladys,F,1464,41
Carrie,F,1463,42
Irene,F,1428,43
Lillie,F,1414,44
Julia,F,1380,45
Hattie,F,1338,46
Josephine,F,1334,47
Jessie,F,1300,48
Cora,F,1295,49
Lena,F,1289,50
Mattie,F,1276,51
Mae,F,1193,52
Jennie,F,1177,53
Blanche,F,1156,54
Alma,F,1144,55
Maude,F,1136,56
Dorothy,F,1127,57
Ada,F,1124,58
Mamie,F,1119,59
Stella,F,1026,60
Lucy,F,1016,61
Fannie,F,1012,62
Viola,F,1010,63
Lula,F,987,64
Katherine,F,968,65
Ruby,F,954,66
Maggie,F,890,67
Dora,F,884,68
Marion,F,856,69
Nora,F,846,70
Rosa,F,832,71
Sadie,F,829,72
Beatrice,F,814,73
Beulah,F,760,74
Ellen,F,746,75
Pauline,F,734,76
Vera,F,729,77
Willie,F,724,78
Effie,F,708,79
May,F,691,80
Marguerite,F,680,81
Nettie,F,677,82
Susie,F,674,83
Daisy,F,665,84
Lydia,F,656,85
Della,F,648,86
Evelyn,F,630,87
Virginia,F,628,88
Emily,F,605,89
Kathryn,F,585,90
Olive,F,577,91
Sallie,F,573,92
Nancy,F,566,93
Georgia,F,562,94
Lottie,F,553,95
Flora,F,552,96
Ann,F,551,97
Eleanor,F,544,98
Lizzie,F,543,99
Katie,F,536,100
Lucille,F,532,101
Leona,F,520,102
Theresa,F,515,103
Hilda,F,513,104
Caroline,F,484,105
Charlotte,F,472,106
Addie,F,471,107
Anne,F,462,108
Bernice,F,447,109
Lola,F,446,110
Ollie,F,446,111
Etta,F,445,112
Harriet,F,435,113
Iva,F,435,114
Amanda,F,431,115
Henrietta,F,420,116
Ora,F,416,117
Inez,F,403,118
Jane,F,394,119
Susan,F,393,120
Lela,F,388,121
Rebecca,F,386,122
Mollie,F,382,123
Estelle,F,381,124
Amelia,F,379,125
Loretta,F,365,126
Sara,F,363,127
Goldie,F,358,128
Nannie,F,355,129
Rachel,F,351,130
Betty,F,350,131
Marjorie,F,349,132
Nina,F,348,133
Eula,F,342,134
Matilda,F,339,135
Essie,F,335,136
Eunice,F,334,137
Mable,F,331,138
Olga,F,329,139
Verna,F,326,140
Rosie,F,322,141
Violet,F,316,142
Genevieve,F,313,143
Lois,F,311,144
Maud,F,305,145
Estella,F,304,146
Amy,F,303,147
Hannah,F,301,148
Frieda,F,299,149
Barbara,F,298,150
Christine,F,295,151
Flossie,F,295,152
Maria,F,295,153
Augusta,F,288,154
Belle,F,283,155
Alta,F,277,156
Sylvia,F,276,157
Celia,F,273,158
Eliza,F,273,159
Victoria,F,269,160
Marian,F,265,161
Kate,F,262,162
Ola,F,261,163
Sophia,F,259,164
Lulu,F,258,165
Allie,F,252,166
Freda,F,250,167
Naomi,F,249,168
Lucile,F,248,169
Irma,F,247,170
Nell,F,247,171
Alberta,F,242,172
Sophie,F,240,173
Madeline,F,237,174
Josie,F,234,175
Winifred,F,234,176
Jean,F,232,177
Luella,F,227,178
Ina,F,220,179
Janie,F,220,180
Norma,F,219,181
Elva,F,218,182
Vivian,F,216,183
Isabel,F,212,184
Tillie,F,212,185
Callie,F,211,186
Mayme,F,209,187
Selma,F,208,188
Velma,F,208,189
Isabelle,F,205,190
Erma,F,203,191
Leah,F,203,192
Doris,F,198,193
Winnie,F,196,194
Delia,F,193,195
Kathleen,F,192,196
Virgie,F,191,197
Rena,F,189,198
Birdie,F,184,199
Fern,F,184,200
Millie,F,181,201
Adeline,F,180,202
Geneva,F,180,203
Lila,F,175,204
Thelma,F,173,205
Miriam,F,169,206
Hulda,F,167,207
Jeanette,F,167,208
Teresa,F,167,209
Adele,F,166,210
Lora,F,166,211
Hester,F,164,212
Cecelia,F,163,213
Sally,F,162,214
Elsa,F,160,215
Opal,F,158,216
Dollie,F,157,217
Lelia,F,157,218
Sue,F,157,219
Bertie,F,154,220
Juanita,F,154,221
Veronica,F,153,222
Johanna,F,151,223
Bess,F,150,224
Gussie,F,150,225
Jeannette,F,150,226
Carolyn,F,148,227
Leila,F,147,228
Katharine,F,145,229
Adelaide,F,142,230
Roxie,F,141,231
Cecilia,F,138,232
Regina,F,138,233
Elma,F,137,234
Zella,F,137,235
Gertie,F,136,236
Rhoda,F,136,237
Leola,F,135,238
Bettie,F,133,239
Lessie,F,133,240
Hallie,F,130,241
Roberta,F,130,242
Bonnie,F,129,243
Cornelia,F,127,244
