Name,Sex,Births,Ranking
Mary,F,59881,1
Betty,F,34420,2
Barbara,F,26318,3
Dorothy,F,24977,4
Joan,F,21044,5
Patricia,F,17990,6
Margaret,F,16556,7
Helen,F,16376,8
Shirley,F,14476,9
Doris,F,12910,10
Ruth,F,12256,11
Joyce,F,11362,12
Nancy,F,10948,13
Virginia,F,10755,14
Jean,F,10670,15
Marilyn,F,10567,16
Elizabeth,F,9999,17
Dolores,F,9630,18
Frances,F,9552,19
Lois,F,9519,20
Alice,F,8536,21
Norma,F,8406,22
Evelyn,F,7958,23
Anna,F,7924,24
Gloria,F,7813,25
Mildred,F,7643,26
Martha,F,7579,27
Beverly,F,7527,28
Donna,F,7362,29
Phyllis,F,7308,30
Marie,F,6913,31
Carol,F,6570,32
Rose,F,6476,33
Ann,F,6195,34
Janet,F,5786,35
Louise,F,5642,36
Marjorie,F,5608,37
Ruby,F,5469,38
Catherine,F,5448,39
Peggy,F,5445,40
Annie,F,5385,41
Geraldine,F,5332,42
Irene,F,5200,43
June,F,4844,44
Eleanor,F,4836,45
Carolyn,F,4587,46
Florence,F,4541,47
Lillian,F,4352,48
Jane,F,4348,49
Edna,F,4279,50
Thelma,F,4272,51
Wanda,F,4261,52
Rita,F,4255,53
Gladys,F,4184,54
Lorraine,F,4162,55
Delores,F,4152,56
Josephine,F,4094,57
Juanita,F,4012,58
Pauline,F,3901,59
Theresa,F,3813,60
Audrey,F,3735,61
Joanne,F,3730,62
Lucille,F,3650,63
Bonnie,F,3621,64
Wilma,F,3611,65
Ethel,F,3607,66
Sarah,F,3597,67
Elaine,F,3576,68
Edith,F,3570,69
Clara,F,3564,70
Bernice,F,3542,71
Grace,F,3535,72
Marion,F,3493,73
Charlotte,F,3363,74
Hazel,F,3340,75
Emma,F,3329,76
Patsy,F,3254,77
Marlene,F,3219,78
Joann,F,3115,79
Arlene,F,3109,80
Anne,F,2969,81
Esther,F,2959,82
Kathleen,F,2945,83
Sally,F,2917,84
Jacqueline,F,2875,85
Marian,F,2837,86
Beatrice,F,2787,87
Laura,F,2748,88
Loretta,F,2746,89
Vivian,F,2662,90
Willie,F,2662,91
Julia,F,2657,92
Billie,F,2635,93
Janice,F,2628,94
Katherine,F,2588,95
Sylvia,F,2568,96
Elsie,F,2554,97
Eva,F,2521,98
Constance,F,2492,99
Rosemary,F,2483,100
Bertha,F,2473,101
Margie,F,2424,102
Jo,F,2388,103
Ellen,F,2370,104
Ida,F,2317,105
Jeanette,F,2291,106
Kathryn,F,2263,107
Ella,F,2256,108
Roberta,F,2243,109
Maxine,F,2223,110
Lillie,F,2218,111
Jeanne,F,2131,112
Bobbie,F,2126,113
Eileen,F,2121,114
Agnes,F,2117,115
Anita,F,2098,116
Bessie,F,2094,117
Georgia,F,2064,118
Alma,F,2045,119
Maria,F,2045,120
Vera,F,2023,121
Darlene,F,2020,122
Nellie,F,1979,123
Gertrude,F,1968,124
Mattie,F,1918,125
Jessie,F,1896,126
Christine,F,1859,127
Lucy,F,1829,128
Minnie,F,1809,129
Sara,F,1759,130
Rosa,F,1757,131
Violet,F,1692,132
Velma,F,1689,133
Leona,F,1670,134
Myrtle,F,1669,135
Viola,F,1668,136
Geneva,F,1632,137
Pearl,F,1618,138
Sue,F,1509,139
Claire,F,1506,140
Mae,F,1456,141
Diane,F,1439,142
Dora,F,1434,143
Judith,F,1433,144
Carrie,F,1396,145
Eunice,F,1376,146
Joy,F,1361,147
Naomi,F,1356,148
Harriet,F,1351,149
Stella,F,1340,150
Carole,F,1317,151
Rosie,F,1314,152
Connie,F,1304,153
Alberta,F,1285,154
Lena,F,1255,155
Rachel,F,1254,156
Lula,F,1229,157
Susan,F,1227,158
Faye,F,1223,159
Yvonne,F,1215,160
Lola,F,1194,161
Rebecca,F,1191,162
Jennie,F,1190,163
Fannie,F,1177,164
Verna,F,1175,165
Erma,F,1167,166
Genevieve,F,1148,167
Emily,F,1147,168
Cora,F,1136,169
Charlene,F,1123,170
Mabel,F,1111,171
Hilda,F,1105,172
Rosalie,F,1104,173
Caroline,F,1103,174
Jeannette,F,1080,175
Daisy,F,1078,176
Pat,F,1061,177
Hattie,F,1060,178
Opal,F,1052,179
Ramona,F,1048,180
Muriel,F,1046,181
Marguerite,F,1000,182
Bettie,F,999,183
Beulah,F,999,184
Inez,F,988,185
Ada,F,984,186
Nina,F,974,187
Mamie,F,970,188
Nora,F,969,189
Johnnie,F,964,190
Marcia,F,951,191
Blanche,F,950,192
Lila,F,949,193
Irma,F,946,194
Marcella,F,943,195
Imogene,F,941,196
Deloris,F,934,197
Gwendolyn,F,929,198
Laverne,F,927,199
Mable,F,909,200
Miriam,F,904,201
Madeline,F,900,202
Flora,F,891,203
Maureen,F,887,204
Carmen,F,886,205
Ernestine,F,876,206
Melba,F,873,207
Eloise,F,867,208
Rosemarie,F,866,209
Eula,F,858,210
Teresa,F,855,211
Iris,F,850,212
Della,F,844,213
Patty,F,839,214
Suzanne,F,828,215
Sandra,F,822,216
Susie,F,804,217
