Name,Sex,Births,Ranking
Mary,F,56931,1
Betty,F,31088,2
Barbara,F,29239,3
Shirley,F,22841,4
Dorothy,F,21281,5
Patricia,F,20844,6
Joan,F,19465,7
Margaret,F,15145,8
Helen,F,14101,9
Nancy,F,13520,10
Doris,F,11627,11
Joyce,F,11459,12
Ruth,F,10565,13
Carol,F,10274,14
Virginia,F,10002,15
Jean,F,9718,16
Marilyn,F,9382,17
Elizabeth,F,9346,18
Frances,F,9207,19
Lois,F,8387,20
Janet,F,8070,21
Beverly,F,7887,22
Donna,F,7870,23
Norma,F,7787,24
Alice,F,7784,25
Dolores,F,7689,26
Martha,F,7604,27
Phyllis,F,7180,28
Evelyn,F,6983,29
Gloria,F,6814,30
Anna,F,6680,31
Ann,F,6641,32
Carolyn,F,6473,33
Marie,F,6326,34
Mildred,F,6180,35
Peggy,F,6027,36
Rose,F,5583,37
Annie,F,5017,38
Ruby,F,4977,39
Louise,F,4973,40
Marjorie,F,4972,41
Catherine,F,4934,42
Geraldine,F,4837,43
Eleanor,F,4718,44
Joanne,F,4543,45
June,F,4387,46
Wanda,F,4368,47
Jane,F,4358,48
Irene,F,4346,49
Joann,F,4149,50
Delores,F,3991,51
Lillian,F,3973,52
Arlene,F,3917,53
Elaine,F,3900,54
Edna,F,3809,55
Lorraine,F,3775,56
Marlene,F,3755,57
Bonnie,F,3753,58
Patsy,F,3750,59
Josephine,F,3742,60
Florence,F,3736,61
Sally,F,3725,62
Rita,F,3683,63
Juanita,F,3662,64
Thelma,F,3646,65
Gladys,F,3611,66
Sarah,F,3601,67
Janice,F,3588,68
Audrey,F,3582,69
Sylvia,F,3475,70
Pauline,F,3445,71
Charlotte,F,3434,72
Wilma,F,3311,73
Kathleen,F,3279,74
Jo,F,3257,75
Clara,F,3222,76
Theresa,F,3192,77
Ethel,F,3178,78
Grace,F,3087,79
Jacqueline,F,3038,80
Edith,F,3012,81
Bernice,F,2980,82
Loretta,F,2978,83
Lucille,F,2946,84
Emma,F,2940,85
Marion,F,2884,86
Hazel,F,2811,87
Anne,F,2786,88
Carole,F,2655,89
Darlene,F,2605,90
Esther,F,2578,91
